x,y,z,id,cv,ci,jvx,jix,jvy,jiy
17,16,0,17,4.7063910180781e-09,1.0297925297935e-10,1.8930736659173e-17,-2.5425493169733e-12,2.7917701531831e-18,-3.7480825906124e-13
18,16,0,18,4.7063049751311e-09,1.0529073948216e-10,1.7168314222717e-17,-2.3060718679977e-12,2.8761935311679e-18,-3.8615753449593e-13
19,16,0,19,4.7062269519768e-09,1.0738698924902e-10,1.5567931804864e-17,-2.0913153360936e-12,2.9531677579176e-18,-3.96506600069e-13
20,16,0,20,4.7061562089197e-09,1.0928783548836e-10,1.4115203306221e-17,-1.8963537723269e-12,3.0232749222178e-18,-4.0593349784706e-13
21,16,0,21,4.7060920725103e-09,1.1101133680371e-10,1.2796893399697e-17,-1.7194144973545e-12,3.08707151361e-18,-4.1451278286256e-13
22,16,0,22,4.7060339301072e-09,1.1257392255528e-10,1.1600855727894e-17,-1.5588704097479e-12,3.1450848853671e-18,-4.2231494268261e-13
23,16,0,23,4.7059812249083e-09,1.1399052976691e-10,1.0515938601967e-17,-1.4132314201893e-12,3.1978109471244e-18,-4.2940607593855e-13
24,16,0,24,4.7059334507349e-09,1.1527473112169e-10,9.5320505810467e-18,-1.2811354586655e-12,3.2456962179249e-18,-4.358477634923e-13
25,16,0,25,4.7058901473086e-09,1.1643885392421e-10,8.6400546432242e-18,-1.1613393829822e-12,3.2891109442451e-18,-4.4169707914998e-13
26,16,0,26,4.7058508973899e-09,1.1749408975164e-10,7.8312330232081e-18,-1.0527096174578e-12,3.3284922834184e-18,-4.4700670866068e-13
27,16,0,27,4.7058153235225e-09,1.1845059686425e-10,7.0977055055249e-18,-9.542149145776e-13,3.3643109791646e-18,-4.5182511666833e-13
28,16,0,28,4.705783084269e-09,1.1931759258678e-10,6.4323890382942e-18,-8.6491629274713e-13,3.3968406175526e-18,-4.5619674448718e-13
29,16,0,29,4.7057538673612e-09,1.2010343873225e-10,5.8293153433074e-18,-7.8396005312731e-13,3.4263684978169e-18,-4.6016226660519e-13
30,16,0,30,4.705727388866e-09,1.208157197893e-10,5.2830142221099e-18,-7.1057056389768e-13,3.4531195417811e-18,-4.6375885209456e-13
31,16,0,31,4.7057033911027e-09,1.2146131420724e-10,4.7880728709808e-18,-6.440433520043e-13,3.4772841454015e-18,-4.6702041118731e-13
32,16,0,32,4.7056816421512e-09,1.2204645939471e-10,4.3393363360353e-18,-5.8373882061483e-13,3.4992178800503e-18,-4.6997784397882e-13
33,16,0,33,4.7056619322151e-09,1.2257681092121e-10,3.9325044349003e-18,-5.2907645740602e-13,3.5191546177177e-18,-4.7265927993022e-13
34,16,0,34,4.7056440703446e-09,1.2305749639028e-10,3.5637878138159e-18,-4.7952951240882e-13,3.5372236966848e-18,-4.7509030568446e-13
35,16,0,35,4.7056278832576e-09,1.2349316442769e-10,3.2296369124159e-18,-4.3462012009583e-13,3.553590484046e-18,-4.7729417965547e-13
36,16,0,36,4.7056132139908e-09,1.238880292012e-10,2.9268019400296e-18,-3.9391483793277e-13,3.5684223837449e-18,-4.7929203254977e-13
37,16,0,37,4.705599920321e-09,1.2424591085937e-10,2.6523436203862e-18,-3.5702057270199e-13,3.5818641416976e-18,-4.8110305359969e-13
38,16,0,38,4.705587873337e-09,1.2457027224897e-10,2.4036051420022e-18,-3.2358086597204e-13,3.5940461428064e-18,-4.8274466269934e-13
