x,y,z,id,cv,ci
69,128,0,69,0.0001425904290568,7.0097900408833e-05
70,128,0,70,0.00014259043201967,7.0097898952513e-05
71,128,0,71,0.00014259042004345,7.0097904839103e-05
72,128,0,72,0.00014259042104985,7.0097904344436e-05
73,128,0,73,0.00014259042833856,7.0097900761863e-05
74,128,0,74,0.00014259043313321,7.0097898405185e-05
75,128,0,75,0.00014259041951815,7.00979050973e-05
76,128,0,76,0.00014259042604764,7.0097901887905e-05
77,128,0,77,0.00014259042549187,7.009790216108e-05
78,128,0,78,0.00014259042527007,7.0097902270099e-05
79,128,0,79,0.00014259042229659,7.0097903731635e-05
80,128,0,80,0.00014259042643809,7.0097901695991e-05
81,128,0,81,0.00014259042747217,7.0097901187715e-05
82,128,0,82,0.00014259042578179,7.0097902018574e-05
83,128,0,83,0.00014259042417159,7.0097902810028e-05
84,128,0,84,0.00014259043018807,7.0097899852786e-05
85,128,0,85,0.00014259042958764,7.0097900147915e-05
86,128,0,86,0.00014259042392104,7.0097902933176e-05
87,128,0,87,0.00014259042347107,7.0097903154348e-05
88,128,0,88,0.00014259042892884,7.009790047173e-05
89,128,0,89,0.00014259042640242,7.0097901713523e-05
90,128,0,90,0.00014259042298878,7.0097903391406e-05
91,128,0,91,0.00014259042676403,7.0097901535784e-05
92,128,0,92,0.00014259042411943,7.0097902835668e-05
93,128,0,93,0.00014259042314682,7.0097903313725e-05
94,128,0,94,0.00014259042785241,7.009790100082e-05
95,128,0,95,0.00014259042486033,7.0097902471497e-05
96,128,0,96,0.00014259042736788,7.0097901238978e-05
97,128,0,97,0.00014259043262192,7.0097898656495e-05
98,128,0,98,0.00014259043186193,7.0097899030045e-05
99,128,0,99,0.00014259042882702,7.0097900521774e-05
100,128,0,100,0.00014259042695115,7.0097901443811e-05
101,128,0,101,0.00014259043124047,7.0097899335508e-05
102,128,0,102,0.00014259042880909,7.0097900530589e-05
103,128,0,103,0.00014259042007103,7.0097904825547e-05
104,128,0,104,0.00014259042675622,7.0097901539622e-05
105,128,0,105,0.00014259042312249,7.0097903325683e-05
106,128,0,106,0.00014259042030175,7.0097904712142e-05
107,128,0,107,0.00014259041953754,7.0097905087771e-05
108,128,0,108,0.00014259042963789,7.0097900123215e-05
109,128,0,109,0.00014259043029202,7.0097899801695e-05
110,128,0,110,0.00014259042205628,7.0097903849752e-05
111,128,0,111,0.00014259042581623,7.0097902001648e-05
112,128,0,112,0.00014259042689604,7.0097901470896e-05
113,128,0,113,0.00014259042611492,7.0097901854836e-05
114,128,0,114,0.00014259043103331,7.0097899437332e-05
115,128,0,115,0.00014259043153339,7.0097899191534e-05
116,128,0,116,0.00014259042866003,7.0097900603857e-05
117,128,0,117,0.00014259042925518,7.0097900311325e-05
118,128,0,118,0.00014259043212485,7.0097898900814e-05
119,128,0,119,0.00014259042988621,7.0097900001158e-05
120,128,0,120,0.00014259042584345,7.0097901988271e-05
121,128,0,121,0.00014259043296269,7.0097898488998e-05
122,128,0,122,0.00014259042457294,7.0097902612757e-05
123,128,0,123,0.00014259042540916,7.0097902201735e-05
124,128,0,124,0.00014259042333181,7.0097903222803e-05
125,128,0,125,0.00014259042884086,7.0097900514966e-05
126,128,0,126,0.00014259042804611,7.0097900905641e-05
127,128,0,127,0.00014259043134354,7.009789928473e-05
128,128,0,128,0.0001425904238263,7.0097902980194e-05
129,128,0,129,0.00014259043526298,7.0097897356684e-05
130,128,0,130,0.00014259042219113,7.0097903789701e-05
131,128,0,131,0.00014259042682375,7.0097901483168e-05
132,128,0,132,0.00014259042322406,7.0097903362568e-05
133,128,0,133,0.00014259041644279,7.0097906284938e-05
