Di,Dv,K0_dist,id,jix,jvx,super_saturation,void_nucleation_rate,x,xi,xie,xv,xve,y,z
1,1.3268352593384e-08,1.6126637108899e-14,6333,-5.7902642878712e-24,1.0975324025765e-32,-6.0053295603573e+16,-nan,6333,7.1255609791567e-09,0,7.1614057604533e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.6105146570318e-14,6334,-5.7902642878712e-24,0,-6.0053295603573e+16,-nan,6334,7.1255609791567e-09,0,7.1614057604533e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.6083668586594e-14,6335,-6.6174449004242e-24,2.195064805153e-32,-6.0053295603573e+16,-nan,6335,7.1255609791567e-09,0,7.1614057604533e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.6062203183912e-14,6336,-6.6174449004242e-24,-2.195064805153e-32,-6.0053295603573e+16,-nan,6336,7.1255609791567e-09,0,7.1614057604533e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.6040750388383e-14,6337,-6.6174449004242e-24,0,-6.0053295603573e+16,-nan,6337,7.1255609791567e-09,0,7.1614057604533e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.6019310226046e-14,6338,-6.6174449004242e-24,2.195064805153e-32,-6.0053295603573e+16,-nan,6338,7.1255609791568e-09,0,7.1614057604533e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.5997882722866e-14,6339,-7.4446255129772e-24,-1.0975324025765e-32,-6.0053295603573e+16,-nan,6339,7.1255609791568e-09,0,7.1614057604533e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.5976467904737e-14,6340,-7.4446255129772e-24,1.0975324025765e-32,-6.0053295603573e+16,-nan,6340,7.1255609791568e-09,0,7.1614057604533e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.595506579748e-14,6341,-8.2718061255303e-24,2.195064805153e-32,-6.0053295603573e+16,-nan,6341,7.1255609791568e-09,0,7.1614057604533e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.5933676426843e-14,6342,-8.2718061255303e-24,2.195064805153e-32,-6.0053295603573e+16,-nan,6342,7.1255609791568e-09,0,7.1614057604533e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.5912299818502e-14,6343,-8.2718061255303e-24,-2.195064805153e-32,-6.0053295603573e+16,-nan,6343,7.1255609791568e-09,0,7.1614057604533e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.5890935998057e-14,6344,-8.2718061255303e-24,0,-6.0053295603573e+16,-nan,6344,7.1255609791568e-09,0,7.1614057604533e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.5869584991041e-14,6345,-9.0989867380833e-24,0,-6.0053295603573e+16,-nan,6345,7.1255609791568e-09,0,7.1614057604533e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.584824682291e-14,6346,-9.0989867380833e-24,-4.390129610306e-32,-6.0053295603573e+16,-nan,6346,7.1255609791568e-09,0,7.1614057604533e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.5826921519048e-14,6347,-9.9261673506363e-24,2.195064805153e-32,-6.0053295603573e+16,-nan,6347,7.1255609791568e-09,0,7.1614057604533e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.5805609104767e-14,6348,-9.9261673506363e-24,2.195064805153e-32,-6.0053295603574e+16,-nan,6348,7.1255609791568e-09,0,7.1614057604533e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.5784309605307e-14,6349,-9.9261673506363e-24,-1.0975324025765e-32,-6.0053295603574e+16,-nan,6349,7.1255609791568e-09,0,7.1614057604533e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.5763023045833e-14,6350,-9.9261673506363e-24,6.585194415459e-32,-6.0053295603574e+16,-nan,6350,7.1255609791569e-09,0,7.1614057604533e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.574174945144e-14,6351,-1.0753347963189e-23,-7.6827268180355e-32,-6.0053295603574e+16,-nan,6351,7.1255609791569e-09,0,7.1614057604533e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.5720488847148e-14,6352,-1.0753347963189e-23,3.2925972077295e-32,-6.0053295603574e+16,-nan,6352,7.1255609791569e-09,0,7.1614057604533e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.5699241257905e-14,6353,-1.1580528575742e-23,1.0975324025765e-32,-6.0053295603574e+16,-nan,6353,7.1255609791569e-09,0,7.1614057604533e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.5678006708588e-14,6354,-1.0753347963189e-23,3.2925972077295e-32,-6.0053295603574e+16,-nan,6354,7.1255609791569e-09,0,7.1614057604533e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.5656785223998e-14,6355,-1.2407709188295e-23,-5.4876620128825e-32,-6.0053295603574e+16,-nan,6355,7.1255609791569e-09,0,7.1614057604533e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.5635576828867e-14,6356,-1.1580528575742e-23,-2.195064805153e-32,-6.0053295603574e+16,-nan,6356,7.1255609791569e-09,0,7.1614057604533e-09,8.9426288355642e-18,0,0
