time,center_ci,center_cs,center_cv,center_xi,center_xv
1.08e-06,1.0795689439103e-08,1,1.0796855726765e-08,0.029545496431556,0.029548688311811
1.09e-06,1.089557962948e-08,1,1.0896767608253e-08,0.029818874549736,0.029822125793931
1.1e-06,1.0995467989461e-08,1,1.0996677859123e-08,0.030092247658515,0.030095558813397
1.11e-06,1.1095354504129e-08,1,1.1096586464454e-08,0.030365615717066,0.030368987329372
1.12e-06,1.1195239158568e-08,1,1.1196493409324e-08,0.030638978684567,0.030642411301024
1.13e-06,1.1295121937862e-08,1,1.1296398678815e-08,0.030912336520195,0.030915830687521
1.14e-06,1.1395002827096e-08,1,1.1396302258009e-08,0.031185689183134,0.031189245448034
1.15e-06,1.1494881811356e-08,1,1.1496204131989e-08,0.031459036632569,0.03146265554174
1.16e-06,1.1594758875732e-08,1,1.1596104285837e-08,0.031732378827688,0.031736060927816
1.17e-06,1.1694634005311e-08,1,1.169600270464e-08,0.032005715727683,0.032009461565441
1.18e-06,1.1794507185184e-08,1,1.1795899373484e-08,0.032279047291746,0.032282857413801
1.19e-06,1.1894378400442e-08,1,1.1895794277454e-08,0.032552373479078,0.032556248432082
1.2e-06,1.1994247636176e-08,1,1.1995687401641e-08,0.032825694248876,0.032829634579474
1.21e-06,1.209411487748e-08,1,1.2095578731133e-08,0.033099009560346,0.033103015815168
1.22e-06,1.2193980109448e-08,1,1.219546825102e-08,0.033372319372693,0.033376392098362
1.23e-06,1.2293843317177e-08,1,1.2295355946394e-08,0.033645623645129,0.033649763388254
1.24e-06,1.2393704485763e-08,1,1.2395241802348e-08,0.033918922336865,0.033923129644046
1.25e-06,1.2493563600303e-08,1,1.2495125803976e-08,0.034192215407119,0.034196490824942
1.26e-06,1.2593420645898e-08,1,1.2595007936373e-08,0.03446550281511,0.034469846890152
1.27e-06,1.2693275607647e-08,1,1.2694888184635e-08,0.03473878452006,0.034743197798887
1.28e-06,1.2793128470652e-08,1,1.2794766533858e-08,0.035012060481196,0.035016543510361
1.29e-06,1.2892979220016e-08,1,1.2894642969143e-08,0.035285330657747,0.035289883983793
1.3e-06,1.2992827840842e-08,1,1.2994517475589e-08,0.035558595008946,0.035563219178403
1.31e-06,1.3092674318236e-08,1,1.3094390038296e-08,0.035831853494029,0.035836549053416
1.32e-06,1.3192518637305e-08,1,1.3194260642366e-08,0.036105106072235,0.03610987356806
1.33e-06,1.3292360783156e-08,1,1.3294129272904e-08,0.036378352702808,0.036383192681565
1.34e-06,1.3392200740897e-08,1,1.3393995915013e-08,0.036651593344994,0.036656506353167
1.35e-06,1.349203849564e-08,1,1.34938605538e-08,0.036924827958043,0.036929814542102
1.36e-06,1.3591874032495e-08,1,1.3593723174371e-08,0.037198056501207,0.037203117207613
1.37e-06,1.3691707336576e-08,1,1.3693583761835e-08,0.037471278933745,0.037476414308943
1.38e-06,1.3791538392996e-08,1,1.3793442301302e-08,0.037744495214915,0.037749705805341
1.39e-06,1.3891367186871e-08,1,1.3893298777881e-08,0.038017705303982,0.038022991656059
1.4e-06,1.3991193703318e-08,1,1.3993153176686e-08,0.038290909160214,0.038296271820351
1.41e-06,1.4091017927454e-08,1,1.4093005482829e-08,0.038564106742881,0.038569546257476
1.42e-06,1.4190839844398e-08,1,1.4192855681426e-08,0.038837298011258,0.038842814926696
1.43e-06,1.4290659439272e-08,1,1.4292703757593e-08,0.039110482924624,0.039116077787276
1.44e-06,1.4390476697197e-08,1,1.4392549696446e-08,0.03938366144226,0.039389334798487
1.45e-06,1.4490291603297e-08,1,1.4492393483104e-08,0.039656833523453,0.0396625859196
1.46e-06,1.4590104142696e-08,1,1.4592235102688e-08,0.039929999127491,0.039935831109893
1.47e-06,1.4689914300521e-08,1,1.4692074540318e-08,0.040203158213668,0.040209070328645
1.48e-06,1.4789722061898e-08,1,1.4791911781117e-08,0.040476310741281,0.040482303535141
1.49e-06,1.4889527411957e-08,1,1.489174681021e-08,0.040749456669631,0.040755530688668
1.5e-06,1.4989330335828e-08,1,1.4991579612722e-08,0.041022595958021,0.041028751748518
1.51e-06,1.5089130818642e-08,1,1.5091410173779e-08,0.041295728565762,0.041301966673984
1.52e-06,1.5188928845533e-08,1,1.5191238478509e-08,0.041568854452164,0.041575175424368
1.53e-06,1.5288724401635e-08,1,1.5291064512043e-08,0.041841973576544,0.04184837795897
1.54e-06,1.5388517472083e-08,1,1.5390888259511e-08,0.042115085898223,0.042121574237099
1.55e-06,1.5488308042016e-08,1,1.5490709706045e-08,0.042388191376523,0.042394764218063
1.56e-06,1.5588096096572e-08,1,1.5590528836779e-08,0.042661289970774,0.042667947861177
1.57e-06,1.5687881620891e-08,1,1.5690345636848e-08,0.042934381640308,0.042941125125761
1.58e-06,1.5787664600115e-08,1,1.579016009139e-08,0.043207466344459,0.043214295971135
1.59e-06,1.5887445019387e-08,1,1.5889972185542e-08,0.043480544042569,0.043487460356625
