time,average_xi,average_xv,left_xi,left_xs,left_xv
326.23686334746,9.8453995802175e-05,0.00010098799275669,9.8610498221304e-05,1,0.00010114838281568
392.48423601695,9.8180836558197e-05,0.00010136425583787,9.8337147999162e-05,1,0.00010152548715781
471.98108322034,9.7723686399585e-05,0.00010168431428276,9.7879295909685e-05,1,0.00010184608046931
567.37729986441,9.7204239640661e-05,0.00010209342029188,9.7358978512275e-05,1,0.00010225579381869
681.8527598373,9.6637869759005e-05,0.00010263537904672,9.6791670389296e-05,1,0.00010279857833414
819.22331180476,9.5995103294365e-05,0.00010331437404959,9.6147867031673e-05,1,0.00010347863996594
984.06797416571,9.5242255757272e-05,0.00010413611444725,9.539382019267e-05,1,0.00010430168685709
1181.8815689988,9.4353558558944e-05,0.00010512065358203,9.4503709956739e-05,1,0.00010528779399613
1419.2578827986,9.3307844097065e-05,0.00010629985232625,9.3456331529081e-05,1,0.00010646886946317
1704.1094593583,9.2083723467555e-05,0.00010771331038624,9.223026217569e-05,1,0.00010788457618106
2045.93135123,9.0658179976936e-05,0.00010940760657193,9.0802449195189e-05,1,0.00010958156769056
2456.117621476,8.9007445504739e-05,0.00011143764620249,8.9149086833391e-05,1,0.00011161483686096
2948.3411457712,8.7108500090318e-05,0.0001138683747975,8.7247118496602e-05,1,0.0001140494325461
3539.0093749255,8.4940781695798e-05,0.00011677634948386,8.5075949430205e-05,1,0.00011696203368509
4247.8112499105,8.248823599952e-05,0.00012025120557704,8.2619499798253e-05,1,0.00012044241824118
5098.3734998927,7.9741729510798e-05,0.00012439697791748,7.9868621624692e-05,1,0.00012459478662776
6119.0481998712,7.6701620011024e-05,0.0001293330650751,7.6823671160248e-05,1,0.00012953872509906
7343.8578398454,7.3380245188966e-05,0.00013519468932709,7.3497009384996e-05,1,0.00013540967475437
8813.6294078145,6.9803607460876e-05,0.00014213232774135,6.9914678848594e-05,1,0.00014235835083496
