time,average_xi,average_xv,left_jix,left_jvx,right_jix,right_jvx,total_ci,total_cv
1301388057793.1,4.3989500677259e-13,5.5999224407507e-07,1.4136387421561e-25,1.5331296345303e-25,-6.1675038836351e-25,-3.8328240863257e-25,2.1994750338629e-11,2.7999612203754e-05
1303155354517.3,4.3933052906574e-13,5.6071177003376e-07,-8.3202737395471e-26,0,3.1907845894379e-26,-1.5331296345303e-25,2.1966526453287e-11,2.8035588501688e-05
1305009346546.3,4.3874000205523e-13,5.6146648258643e-07,-6.0584517520974e-28,0,-6.0584517520974e-28,0,2.1937000102762e-11,2.8073324129322e-05
1306301333168.5,4.3832947320994e-13,5.619923505513e-07,1.7549315241909e-25,-7.6656481726514e-26,2.1043022418952e-25,-7.6656481726514e-26,2.1916473660497e-11,2.8099617527565e-05
1308301371571.6,4.3769555965545e-13,5.6280630386375e-07,9.8550815167451e-26,-7.6656481726514e-26,-9.9964453909607e-26,-2.2996944517954e-25,2.1884777982773e-11,2.8140315193188e-05
1310695256238.9,4.3693934982464e-13,5.6378036806063e-07,-1.8579252039765e-25,-7.6656481726514e-26,-1.3449762889656e-25,-7.6656481726514e-26,2.1846967491232e-11,2.8189018403031e-05
1313298731367.9,4.3612006274413e-13,5.6483950094545e-07,1.9629383676795e-25,-3.0662592690606e-25,-1.225826737841e-25,3.0662592690606e-25,2.1806003137206e-11,2.8241975047272e-05
1315134478322.9,4.3554431567943e-13,5.6558617706652e-07,6.84605047987e-26,-7.6656481726514e-26,-5.8565033603608e-27,0,2.1777215783971e-11,2.8279308853326e-05
1317106110349.4,4.3492773714231e-13,5.6638800058447e-07,4.1197471914262e-26,2.2996944517954e-25,-3.4674538861171e-25,2.2996944517954e-25,2.1746386857116e-11,2.8319400029223e-05
1318707992869.9,4.3442814474838e-13,5.6703936062047e-07,-2.0598735957131e-26,7.6656481726514e-26,2.362796183318e-26,-1.5331296345303e-25,2.1721407237419e-11,2.8351968031023e-05
1320131654072.3,4.3398515371733e-13,5.6761818154563e-07,2.2072959216808e-25,-7.6656481726514e-26,8.0981305086368e-26,7.6656481726514e-26,2.1699257685866e-11,2.8380909077281e-05
1321327418186.3,4.3361380996218e-13,5.681042946315e-07,-6.3411795005286e-26,3.0662592690606e-25,-2.0033280460269e-25,4.5993889035909e-25,2.1680690498109e-11,2.8405214731575e-05
1322800944325.2,4.3315713024144e-13,5.6870326173558e-07,1.4136387421561e-26,0,5.7151394861452e-26,0,2.1657856512072e-11,2.8435163086779e-05
1325055457780.4,4.32460369209e-13,5.6961955150311e-07,-5.0487097934145e-27,7.6656481726514e-26,-1.2520800287668e-25,-7.6656481726514e-26,2.162301846045e-11,2.8480977575155e-05
1327313159202.7,4.3176499052676e-13,5.7053697032534e-07,1.722619781513e-25,-7.6656481726514e-26,-2.8272774843121e-26,0,2.1588249526338e-11,2.8526848516267e-05
1331553858706.3,4.3046520940612e-13,5.722597315012e-07,0,0,2.0194839173658e-28,0,2.1523260470306e-11,2.861298657506e-05
1335891836442.4,4.2914413979779e-13,5.7402140322077e-07,5.0325539220755e-25,4.5993889035909e-25,-1.0097419586829e-26,6.8990833553863e-25,2.145720698989e-11,2.8701070161039e-05
1340376969800.7,4.2778722978527e-13,5.7584218897371e-07,-2.2840363105407e-25,2.2996944517954e-25,2.9726803263624e-25,2.2996944517954e-25,2.1389361489263e-11,2.8792109448686e-05
1344443019368.2,4.2656493143364e-13,5.7749227552499e-07,-1.2318851895931e-26,-2.2996944517954e-25,-1.3550737085524e-25,0,2.1328246571682e-11,2.887461377625e-05
1347097092181.1,4.257710581306e-13,5.7856906162503e-07,2.0194839173658e-28,0,-6.0584517520974e-28,0,2.128855290653e-11,2.8928453081252e-05
1349718282053.2,4.2499008315622e-13,5.7963228108529e-07,2.3486597958964e-25,-1.5331296345303e-25,3.3725381420009e-26,7.6656481726514e-26,2.1249504157811e-11,2.8981614054265e-05
1354320334836.5,4.2362621781224e-13,5.8149844506248e-07,-5.040631857745e-25,2.2996944517954e-25,-1.1692811881548e-25,-3.0662592690606e-25,2.1181310890612e-11,2.9074922253124e-05
1357853615597.9,4.2258536304538e-13,5.8293074574943e-07,6.3815691788759e-26,2.2996944517954e-25,-1.4560479044207e-25,1.5331296345303e-25,2.1129268152269e-11,2.9146537287471e-05
1360055126544.3,4.2193955695693e-13,5.8382297547466e-07,-2.0194839173658e-28,0,0,0,2.1096977847847e-11,2.9191148773733e-05
1362339556785.5,4.2127163261007e-13,5.8474864374216e-07,1.2440020930973e-25,-7.6656481726514e-26,6.8056608015227e-26,7.6656481726514e-26,2.1063581630503e-11,2.9237432187108e-05
1365839003385.4,4.202527870464e-13,5.8616631579381e-07,-8.0779356694632e-28,0,-4.0389678347316e-28,-7.6656481726514e-26,2.101263935232e-11,2.9308315789691e-05
1368753940139.4,4.1940809098995e-13,5.8734689046248e-07,2.4233807008389e-26,7.6656481726514e-26,-2.3426013441443e-26,-7.6656481726514e-26,2.0970404549497e-11,2.9367344523124e-05
1370442134895.5,4.1892052392338e-13,5.8803049737628e-07,-3.1625118145948e-25,2.2996944517954e-25,-1.2056318986674e-25,2.2996944517954e-25,2.0946026196169e-11,2.9401524868814e-05
1372481215895,4.1833321415621e-13,5.8885606611106e-07,-2.0800684348868e-26,-3.8328240863257e-25,-5.1496839892828e-26,-3.8328240863257e-25,2.0916660707811e-11,2.9442803305553e-05
1374806611992.1,4.1766556149914e-13,5.8979739082058e-07,-1.3934439029824e-26,7.6656481726514e-26,6.84605047987e-26,0,2.0883278074957e-11,2.9489869541029e-05
1377322792900.2,4.1694567010523e-13,5.9081574721225e-07,-4.0389678347316e-28,0,0,0,2.0847283505262e-11,2.9540787360612e-05
1379621530300.8,4.1629027987426e-13,5.9174591903603e-07,-1.3995023547345e-25,0,1.4358530652471e-25,-7.6656481726514e-26,2.0814513993713e-11,2.9587295951801e-05
1381654514752.3,4.1571247506011e-13,5.9256841201454e-07,3.61083724425e-25,-3.0662592690606e-25,9.33001569823e-26,-1.5331296345303e-25,2.0785623753006e-11,2.9628420600727e-05
1383407857931.7,4.152155111726e-13,5.9327766130983e-07,-7.8154027602056e-26,1.5331296345303e-25,2.7061084492702e-26,2.2996944517954e-25,2.076077555863e-11,2.9663883065492e-05
1384878317248.5,4.147996977443e-13,5.938724034299e-07,1.1914955112458e-26,0,4.8265665625042e-26,0,2.0739984887215e-11,2.9693620171495e-05
1386218325645,4.1442153859523e-13,5.9441432206431e-07,1.9003343662412e-25,-7.6656481726514e-26,9.7137176425295e-26,0,2.0721076929761e-11,2.9720716103216e-05
1388763927089.1,4.1370516108886e-13,5.9544363890427e-07,1.2116903504195e-27,0,1.4136387421561e-27,0,2.0685258054443e-11,2.9772181945214e-05
1391372145160.2,4.1297387776746e-13,5.9649805623103e-07,-2.0194839173658e-28,0,2.0194839173658e-28,0,2.0648693888373e-11,2.9824902811552e-05
1393939769873.6,4.1225664644454e-13,5.9753584688074e-07,1.8559057200592e-25,7.6656481726514e-26,2.0396787565394e-26,0,2.0612832322227e-11,2.9876792344037e-05
1398287468707.6,4.1104817561996e-13,5.9929262483759e-07,-1.3772880316435e-25,2.2996944517954e-25,-6.2240494333214e-25,4.5993889035909e-25,2.0552408780998e-11,2.996463124188e-05
1402546124991.2,4.0987170039978e-13,6.0101282775944e-07,-4.0450262864837e-25,-1.5331296345303e-25,3.0797129739828e-25,0,2.0493585019989e-11,3.0050641387972e-05
1407542098314.8,4.0850061593629e-13,6.0303010453215e-07,2.0194839173658e-28,0,-4.0389678347316e-28,0,2.0425030796814e-11,3.0151505226608e-05
1411838991369.2,4.0732913553971e-13,6.0476445799897e-07,2.8797840661636e-25,1.5331296345303e-25,4.1197471914262e-26,1.5331296345303e-25,2.0366456776985e-11,3.0238222899949e-05
1415153760241.1,4.0643026954821e-13,6.0610198748754e-07,8.9584306574346e-25,-2.2996944517954e-25,4.3863190685185e-25,1.5331296345303e-25,2.0321513477411e-11,3.0305099374377e-05
1417584179423,4.0577388196417e-13,6.0708244987568e-07,4.7659820449833e-26,0,-7.2297524241695e-26,0,2.0288694098208e-11,3.0354122493784e-05
1420673634647.6,4.0494274434913e-13,6.0832849912132e-07,1.6155871338926e-27,0,-6.0584517520974e-28,0,2.0247137217457e-11,3.0416424956066e-05
1423877118717.3,4.04084735898e-13,6.0962021196999e-07,1.1793786077416e-25,0,-1.1268720258901e-25,0,2.02042367949e-11,3.04810105985e-05
1427626464695.7,4.0308541218424e-13,6.1113160521625e-07,7.2095575849959e-26,9.1987778071817e-25,8.7039756838466e-26,9.1987778071817e-25,2.0154270609212e-11,3.0556580260813e-05
1430414253121.6,4.0234576673814e-13,6.1225509095151e-07,2.5647445750546e-26,-7.6656481726514e-26,-2.0982437901431e-25,-7.6656481726514e-26,2.0117288336907e-11,3.0612754547575e-05
1432624305385.4,4.0176144580996e-13,6.1314556859214e-07,0,0,0,0,2.0088072290498e-11,3.0657278429607e-05
1436514339185.5,4.0073731605225e-13,6.1471256250805e-07,-2.6253290925755e-27,7.6656481726514e-26,-1.8175355256292e-27,0,2.0036865802612e-11,3.0735628125402e-05
1439569801313.4,3.999367809704e-13,6.1594302817136e-07,-2.0396787565394e-26,-1.5331296345303e-25,3.837019442995e-27,-7.6656481726514e-26,1.999683904852e-11,3.0797151408568e-05
1443895361113.1,3.9880926628848e-13,6.1768445831005e-07,1.4136387421561e-27,0,8.0779356694632e-28,0,1.9940463314424e-11,3.0884222915502e-05
1447344926640.4,3.9791491640691e-13,6.1907278693005e-07,-4.7053975274623e-26,-2.2996944517954e-25,-1.0905213153775e-26,-2.2996944517954e-25,1.9895745820345e-11,3.0953639346502e-05
1451541563297.6,3.9683260340569e-13,6.2076126622656e-07,-4.0389678347316e-28,0,2.0194839173658e-28,0,1.9841630170284e-11,3.1038063311328e-05
1455648752582.6,3.9577939462672e-13,6.2241320549977e-07,6.0847050430231e-25,5.365953720856e-25,1.7407951367693e-25,5.365953720856e-25,1.9788969731336e-11,3.1120660274989e-05
1458596448005.8,3.9502716890032e-13,6.2359845213501e-07,0,0,2.0194839173658e-28,0,1.9751358445016e-11,3.117992260675e-05
1461245571140.7,3.9435372245995e-13,6.2466340532201e-07,-9.8954711950924e-27,-7.6656481726514e-26,-4.2409162264682e-27,0,1.9717686122998e-11,3.1233170266101e-05
1465519224222.1,3.9327242347296e-13,6.2638094498338e-07,1.4196971939082e-25,1.5331296345303e-25,4.4630594573784e-26,0,1.9663621173648e-11,3.1319047249169e-05
1469667143561.6,3.9222894477244e-13,6.2804738900076e-07,3.069615554396e-26,0,-1.2520800287668e-26,0,1.9611447238622e-11,3.1402369450038e-05
1474269575338.5,3.9107799236646e-13,6.2989578463167e-07,5.6303211616158e-25,1.5331296345303e-25,-3.0494207152223e-26,7.6656481726514e-26,1.9553899618323e-11,3.1494789231584e-05
1478398358966.8,3.9005157861583e-13,6.3155337522389e-07,8.4212479354153e-26,7.6656481726514e-26,4.1197471914262e-26,1.5331296345303e-25,1.9502578930792e-11,3.1577668761195e-05
1481017020248.4,3.8940354396132e-13,6.3260440884482e-07,-1.6559768122399e-26,0,1.0501316370302e-26,7.6656481726514e-26,1.9470177198066e-11,3.1630220442241e-05
1482606094098.2,3.8901141287911e-13,6.3324209632412e-07,-2.2719194070365e-25,0,8.1991047045051e-26,0,1.9450570643956e-11,3.1662104816206e-05
1485427007826.3,3.8831737286118e-13,6.3437391429805e-07,-3.3927329811745e-26,-7.6656481726514e-26,-5.9170878778818e-26,-7.6656481726514e-26,1.9415868643059e-11,3.1718695714903e-05
1488059379049.6,3.8767209074701e-13,6.3542985302484e-07,-3.0292258760487e-27,0,-1.2318851895931e-26,0,1.9383604537351e-11,3.1771492651242e-05
1490270340082.9,3.871318683337e-13,6.3631657625374e-07,-1.8256134612987e-25,-7.6656481726514e-25,6.199815626313e-26,-5.365953720856e-25,1.9356593416685e-11,3.1815828812687e-05
1492912298583.4,3.8648843689388e-13,6.3737594768649e-07,7.4922853334271e-26,-7.6656481726514e-26,6.4623485355705e-27,0,1.9324421844694e-11,3.1868797384325e-05
1495433533014.1,3.8587652442668e-13,6.383867013956e-07,2.0982437901431e-25,-1.5331296345303e-25,1.6963664905873e-26,1.5331296345303e-25,1.9293826221334e-11,3.191933506978e-05
1498444467259.7,3.8514845438845e-13,6.3959350549679e-07,4.6145207511808e-25,1.0731907441712e-24,1.8195550095466e-25,8.4322129899166e-25,1.9257422719422e-11,3.1979675274839e-05
1501826652867.1,3.843340903205e-13,6.4094876133985e-07,6.4219588572232e-26,3.8328240863257e-25,0,6.8990833553863e-25,1.9216704516025e-11,3.2047438066992e-05
1505974947937.1,3.8334025437561e-13,6.4261049747274e-07,0,0,2.0194839173658e-28,0,1.916701271878e-11,3.2130524873637e-05
1509571830553.6,3.8248294211476e-13,6.4405089846562e-07,-2.9888361977014e-26,-1.5331296345303e-25,-1.1288915098075e-25,0,1.9124147105738e-11,3.2202544923281e-05
1513629432317.4,3.8152070264537e-13,6.4567529817696e-07,1.4136387421561e-27,0,1.0097419586829e-27,0,1.9076035132268e-11,3.2283764908848e-05
1517071418599.8,3.8070848735786e-13,6.4705283006127e-07,-8.0779356694632e-27,-2.2996944517954e-25,-1.3005476427836e-25,-1.5331296345303e-25,1.9035424367893e-11,3.2352641503064e-05
1521223113552.4,3.7973368011518e-13,6.4871389054851e-07,-2.03160082087e-25,7.6656481726514e-26,2.2698999231191e-25,7.6656481726514e-26,1.8986684005759e-11,3.2435694527426e-05
1526476606292.1,3.7850777646887e-13,6.5081497679347e-07,9.4915744116192e-26,0,2.2214323091024e-26,-7.6656481726514e-26,1.8925388823444e-11,3.2540748839673e-05
1531031094755.2,3.7745178572229e-13,6.5263578469729e-07,6.0584517520974e-28,0,-2.0194839173658e-28,0,1.8872589286115e-11,3.2631789234865e-05
1534522238990.9,3.7664657974109e-13,6.5403103409445e-07,-1.0097419586829e-27,0,-4.0389678347316e-28,0,1.8832328987055e-11,3.2701551704723e-05
1537986301327.6,3.7585123084023e-13,6.5541507299662e-07,1.4762427435944e-25,5.365953720856e-25,6.7006476378197e-25,6.8990833553863e-25,1.8792561542011e-11,3.2770753649831e-05
1542296023633.9,3.7486670039306e-13,6.571364506734e-07,1.2379436413452e-25,-7.6656481726514e-26,1.9790942390185e-25,0,1.8743335019653e-11,3.285682253367e-05
1546096351646.8,3.7400309010513e-13,6.5865387268649e-07,4.4428646182047e-27,-7.6656481726514e-26,-6.0584517520974e-27,-1.5331296345303e-25,1.8700154505256e-11,3.2932693634324e-05
1550304326481.6,3.7305177918788e-13,6.6033352203746e-07,-2.0194839173658e-28,0,4.0389678347316e-28,0,1.8652588959394e-11,3.3016676101873e-05
1552697570856.6,3.7251302890339e-13,6.6128855266521e-07,2.0194839173658e-28,0,0,0,1.8625651445169e-11,3.3064427633261e-05
1554870232832.6,3.72025370014e-13,6.6215540015615e-07,-1.143027897229e-25,7.6656481726514e-26,-2.4415560560952e-25,1.5331296345303e-25,1.86012685007e-11,3.3107770007807e-05
1557597937521.4,3.7141505481332e-13,6.6324348392272e-07,4.0389678347316e-28,0,-4.0389678347316e-28,0,1.8570752740666e-11,3.3162174196136e-05
1561598102867,3.7052388401341e-13,6.6483872199376e-07,-7.199460165409e-25,3.8328240863257e-25,-8.275845093365e-25,2.2996944517954e-25,1.852619420067e-11,3.3241936099688e-05
1564187954632.7,3.6994933771301e-13,6.6587126320389e-07,2.2214323091024e-27,0,-1.0703264762039e-26,-7.6656481726514e-26,1.849746688565e-11,3.3293563160194e-05
1566111859214.4,3.695237602236e-13,6.6663816053367e-07,2.0901658544736e-25,-7.6656481726514e-26,-2.8191995486426e-25,7.6656481726514e-26,1.847618801118e-11,3.3331908026684e-05
1568093725876.9,3.690864461631e-13,6.6742803842085e-07,-9.976250551787e-26,-7.6656481726514e-26,-3.5542916945638e-26,0,1.8454322308155e-11,3.3371401921042e-05
1570813070851.6,3.6848820145074e-13,6.6851163532235e-07,1.4136387421561e-26,-7.6656481726514e-26,6.6642969273071e-27,0,1.8424410072537e-11,3.3425581766117e-05
1574262466101.7,3.6773231977414e-13,6.6988579977643e-07,7.7750130818583e-26,-7.6656481726514e-26,1.6963664905873e-26,1.5331296345303e-25,1.8386615988707e-11,3.3494289988821e-05
1578299769034.8,3.6685180064912e-13,6.7149369019399e-07,-1.4580673883381e-25,3.8328240863257e-25,-5.1900736676301e-26,4.5993889035909e-25,1.8342590032456e-11,3.35746845097e-05
1580908067661.3,3.6628533151147e-13,6.7253218993179e-07,1.0016640230134e-25,7.6656481726514e-26,1.8175355256292e-25,7.6656481726514e-26,1.8314266575574e-11,3.362660949659e-05
1584573596307.9,3.6549240430756e-13,6.7399126011644e-07,1.4136387421561e-27,7.6656481726514e-26,-1.4540284205034e-26,0,1.8274620215378e-11,3.3699563005822e-05
1588152243512.2,3.6472179831139e-13,6.7541533227867e-07,-1.4136387421561e-25,2.2996944517954e-25,9.8752763559187e-26,6.8990833553863e-25,1.823608991557e-11,3.3770766613934e-05
1591725517240.1,3.6395580684414e-13,6.7683685756942e-07,-4.002617124219e-25,-3.0662592690606e-25,1.2177488021716e-25,-7.6656481726514e-26,1.8197790342207e-11,3.3841842878471e-05
1595395645775.7,3.6317262134367e-13,6.7829648876721e-07,1.8195550095466e-25,-2.2996944517954e-25,1.0036835069308e-25,0,1.8158631067184e-11,3.391482443836e-05
1598108082816.2,3.6259611275574e-13,6.7937496376861e-07,0,0,0,0,1.8129805637787e-11,3.396874818843e-05
1601813511149.3,3.6181170002302e-13,6.8084787590453e-07,-3.1544338789254e-25,7.6656481726514e-26,7.4014085571456e-25,-1.5331296345303e-25,1.8090585001151e-11,3.4042393795226e-05
