bias,size,xi_center,xv_center,Fi,Fv,Di,Dv,rho,Zi,Zv,ki,kv,Zi_scaled,Zv_scaled,ki_scaled,kv_scaled,super_saturation_center
20.0,50.0,2.8194529289864e-13,1.9067257166457e-09,5.6386421615085e-10,6.76761874999775e-10,1.0,0.000181,1.5278874536821954e-08,1999.906472471454,1960.9615852637216,3.0556320078269516e-05,2.996128603277189e-05,1.9999064724714542e-07,1.9609615852637216e-07,3055632007826951.5,2996128603277188.5,9.4328896243443
30.0,50.0,2.819084188463e-13,2.0625411603003e-09,5.63810576310175e-10,7.331601294751e-10,1.0,0.000181,1.5278874536821954e-08,1999.9777893031694,1963.8921773318293,3.055740971919366e-05,3.000606218129911e-05,1.9999777893031694e-07,1.9638921773318295e-07,3055740971919365.5,3000606218129911.0,13.649623886524
40.0,50.0,2.818715541165e-13,2.2183566554548e-09,5.6375694981245e-10,7.89558397291575e-10,1.0,0.000181,1.5278874536821954e-08,2000.0491059819549,1966.411072485717,3.05584993577812e-05,3.0044548064326773e-05,2.000049105981955e-07,1.9664110724857173e-07,3055849935778120.0,3004454806432677.0,17.866358148546
50.0,50.0,2.818715541165e-13,2.2183566554548e-09,5.6375694981245e-10,7.89558397291575e-10,1.0,0.000181,1.5278874536821954e-08,2000.0491059819549,1966.411072485717,3.05584993577812e-05,3.0044548064326773e-05,2.000049105981955e-07,1.9664110724857173e-07,3055849935778120.0,3004454806432677.0,17.866358148546
0.0,250.0,4.5608790664819e-12,2.5235206321805e-08,5.212586812146688e-08,5.212583357304187e-08,1.0,0.000181,1.2223099629457562e-10,11428.90819108583,11412.152812138673,1.396966834755657e-06,1.3949188080936528e-06,1.142890819108583e-06,1.1412152812138674e-06,139696683475565.69,139491880809365.27,0.99944419365348
5.0,250.0,4.4694436547858e-12,2.6679794523898e-08,5.144508694043188e-08,5.497396381750812e-08,1.0,0.000181,1.2223099629457562e-10,11510.400603293298,11384.029091031858,1.406927733490224e-06,1.3914812176432562e-06,1.1510400603293297e-06,1.1384029091031858e-06,140692773349022.39,139148121764325.61,53.695558315624
10.0,250.0,4.3806287917357e-12,2.8138860889912e-08,5.0783170951207505e-08,5.78409592465925e-08,1.0,0.000181,1.2223099629457562e-10,11592.667026937499,11356.654130559371,1.4169832404138465e-06,1.3881351489511794e-06,1.15926670269375e-06,1.1356654130559372e-06,141698324041384.62,138813514895117.92,106.39167229183
20.0,250.0,4.2105598249525e-12,3.1098765763047e-08,4.951374731423e-08,6.362935843163124e-08,1.0,0.000181,1.2223099629457562e-10,11759.421400642032,11304.09545600244,1.4373657936482293e-06,1.3817108497961634e-06,1.1759421400642032e-06,1.130409545600244e-06,143736579364822.9,138171084979616.33,211.78389997893
30.0,250.0,4.050080377049e-12,3.411165138815e-08,4.831330278647937e-08,6.948673670430626e-08,1.0,0.000181,1.2223099629457562e-10,11928.973819942252,11254.354657514154,1.4580903547834509e-06,1.3756309824404524e-06,1.1928973819942252e-06,1.1254354657514155e-06,145809035478345.06,137563098244045.23,317.17612725193
40.0,250.0,3.8986174968186e-12,3.7174352289898e-08,4.717769015743688e-08,7.540894685542499e-08,1.0,0.000181,1.2223099629457562e-10,12101.133336608533,11207.297238882755,1.479133584027163e-06,1.3698791072780855e-06,1.2101133336608532e-06,1.1207297238882755e-06,147913358402716.28,136987910727808.53,422.56835413661
50.0,250.0,3.7556203612314e-12,4.0283825247904e-08,4.610293116405062e-08,8.139201062306876e-08,1.0,0.000181,1.2223099629457562e-10,12275.71658732149,11162.783423240933,1.5004730686981536e-06,1.3644381392433127e-06,1.227571658732149e-06,1.1162783423240934e-06,150047306869815.34,136443813924331.27,527.96058065391
0.0,500.0,6.4051096339795e-12,3.5444279465134e-08,2.23819006905845e-07,2.2387581145744003e-07,1.0,0.000181,1.5278874536821952e-11,34943.82137012479,34896.5462098236,5.339022625512544e-07,5.331799513083045e-07,3.4943821370124788e-06,3.4896546209823604e-06,53390226255125.43,53317995130830.445,1.5387411094195
5.0,500.0,5.8244847688883e-12,3.9952853357713e-08,2.14444975580985e-07,2.4249897277891497e-07,1.0,0.000181,1.5278874536821952e-11,36817.84468326722,33533.85847750976,5.62535229631837e-07,5.123596164134149e-07,3.6817844683267222e-06,3.3533858477509764e-06,56253522963183.695,51235961641341.484,210.09133774193
10.0,500.0,5.2957451470278e-12,4.4879779510665e-08,2.057563008012925e-07,2.62182425023325e-07,1.0,0.000181,1.5278874536821952e-11,38853.134939239244,32275.597184418457,5.936321740988499e-07,4.931347999817334e-07,3.8853134939239245e-06,3.227559718441846e-06,59363217409884.98,49313479998173.336,422.20321702294
