bias,size,xi_center,xv_center,Fi,Fv,Di,Dv,rho,Zi,Zv,ki,kv,Zi_scaled,Zv_scaled,ki_scaled,kv_scaled,super_saturation_center
20.0,50.0,1.4322683227726e-10,1.1033879690482e-06,3.5737137214115e-07,4.7027634569490004e-07,1.0,0.000181,1.5278874536821954e-08,2495.14261021529,2354.758188009984,3.812297089295786e-05,3.597805491915875e-05,2.49514261021529e-07,2.3547581880099844e-07,3812297089295785.5,3597805491915875.0,8434.5811737296
30.0,50.0,1.360377012645e-10,1.2196902706168e-06,3.4649074606145e-07,5.15848208090575e-07,1.0,0.000181,1.5278874536821954e-08,2547.0200013727313,2336.6506797719076,3.891559904375004e-05,3.5701392572614704e-05,2.5470200013727315e-07,2.3366506797719076e-07,3891559904375003.5,3570139257261470.0,12651.371915355
40.0,50.0,1.2936048055299e-10,1.3388208058359e-06,3.36345473443575e-07,5.621554239343749e-07,1.0,0.000181,1.5278874536821954e-08,2600.0635743293924,2319.8258183039607,3.972604513993963e-05,3.544432762514654e-05,2.6000635743293927e-07,2.3198258183039606e-07,3972604513993962.5,3544432762514653.5,16868.162655413
50.0,50.0,1.2315749253471e-10,1.4605714111549e-06,3.2688119224785e-07,6.0914363119225e-07,1.0,0.000181,1.5278874536821954e-08,2654.172194645191,2304.1902646960684,4.0552763961105254e-05,3.52054339632578e-05,2.6541721946451914e-07,2.3041902646960685e-07,4055276396110525.0,3520543396325779.5,21084.953394702
0.0,250.0,2.1114967990622e-10,1.1666093797988e-06,9.96212066908375e-06,9.96211994051625e-06,1.0,0.000181,1.2223099629457562e-10,47180.37305814683,47178.89093042221,5.766904004447041e-06,5.766722842498624e-06,4.718037305814684e-06,4.7178890930422215e-06,576690400444704.0,576672284249862.4,0.98817938897264
5.0,250.0,9.9481270948796e-11,2.4994135052971e-06,8.64152712311125e-06,1.217043844405e-05,1.0,0.000181,1.2223099629457562e-10,86865.86973299859,26902.30778584133,1.0617701801459238e-05,3.2882958832867045e-06,8.68658697329986e-06,2.690230778584133e-06,1061770180145923.8,328829588328670.44,52697.114157083
10.0,250.0,5.8751099935107e-11,4.2241407103681e-06,7.730745964701875e-06,1.4788568103224373e-05,1.0,0.000181,1.2223099629457562e-10,131584.70178840568,19342.34717841371,1.6083729196721453e-05,2.3642343662930815e-06,1.3158470178840569e-05,1.934234717841371e-06,1608372919672145.2,236423436629308.12,105393.21616269
20.0,250.0,3.1040200806272e-11,7.9705540321691e-06,6.58708947796e-06,2.0702734159520625e-05,1.0,0.000181,1.2223099629457562e-10,212211.56135784433,14350.288107457416,2.5938830569996776e-05,1.75405001248872e-06,2.1221156135784432e-05,1.4350288107457417e-06,2593883056999677.5,175405001248872.0,210785.43810905
30.0,250.0,2.0913234992152e-11,1.1814115882968e-05,5.88843821452225e-06,2.7061905162258122e-05,1.0,0.000181,1.2223099629457562e-10,281565.1532023608,12655.478384533159,3.441598919775938e-05,1.5468917315259542e-06,2.815651532023608e-05,1.2655478384533158e-06,3441598919775937.5,154689173152595.4,316177.65265419
40.0,250.0,1.574068745964e-11,1.5685050670412e-05,5.40634741441625e-06,3.363763703392625e-05,1.0,0.000181,1.2223099629457562e-10,343463.23362803727,11848.434693331963,4.198185323691158e-05,1.4482459770971803e-06,3.434632336280373e-05,1.1848434693331964e-06,4198185323691158.0,144824597709718.0,421569.87963043
50.0,250.0,1.2612108994177e-11,1.9567277863039e-05,5.047242401395e-06,4.033635446870875e-05,1.0,0.000181,1.2223099629457562e-10,400190.1984612809,11389.054148451005,4.891564666524631e-05,1.3920954354180358e-06,4.001901984612809e-05,1.1389054148451006e-06,4891564666524630.0,139209543541803.56,526962.10007702
0.0,500.0,2.1115705337079e-10,1.1666222369838e-06,3.98485217925575e-05,3.9848440203297495e-05,1.0,0.000181,1.5278874536821952e-11,188715.08745002156,188713.29657165703,2.8833541443542625e-06,2.88332678174842e-06,1.8871508745002156e-05,1.8871329657165704e-05,288335414435426.25,288332678174842.0,0.23466078529446
