x,y,z,id,cv,ci,jvx,jix,jvy,jiy
13,16,0,13,9.9799951961756e-05,2.7080145850048e-12,-2.9052236257271e-10,4.0021208669019e-14,-2.9998475503603e-11,4.1289098011378e-15
14,16,0,14,0.00010095921297737,2.676951422549e-12,-2.3145655757584e-10,3.1058590039086e-14,-3.0787342942994e-11,4.1312920444311e-15
15,16,0,15,0.00010188210503022,2.6527188281574e-12,-1.8424198021113e-10,2.4225867462552e-14,-3.1519418849022e-11,4.1425913902486e-15
16,16,0,16,0.00010261632340618,2.6337495030294e-12,-1.4656636239535e-10,1.8963360481807e-14,-3.2133162004452e-11,4.1552829654725e-15
17,16,0,17,0.00010320008375153,2.6188579620395e-12,-1.165232343151e-10,1.4885949242606e-14,-3.2639309555843e-11,4.1668393589128e-15
18,16,0,18,0.00010366393658653,2.6071437497281e-12,-9.2583929682775e-11,1.1709362480808e-14,-3.3054781629026e-11,4.1772809368046e-15
19,16,0,19,0.00010403228734872,2.5979150700635e-12,-7.3518635154233e-11,9.2245306670023e-15,-3.3392936229904e-11,4.186279765024e-15
20,16,0,20,0.00010432461131346,2.5906371303436e-12,-5.8342262400048e-11,7.2744422445917e-15,-3.366698406052e-11,4.1939262378955e-15
21,16,0,21,0.00010455644055995,2.5848939867392e-12,-4.6267090319717e-11,5.7402241181041e-15,-3.3888273586305e-11,4.2003431994448e-15
22,16,0,22,0.00010474015646052,2.580360655375e-12,-3.6663820709251e-11,4.530915326741e-15,-3.4066391969327e-11,4.2056787232355e-15
23,16,0,23,0.00010488562483501,2.576782274419e-12,-2.9030079296128e-11,3.5763956685684e-15,-3.4209346977337e-11,4.2100800481724e-15
24,16,0,24,0.00010500070428105,2.5739583920704e-12,-2.296505484414e-11,2.8222608911805e-15,-3.4323776942371e-11,4.2136867929967e-15
25,16,0,25,0.00010509165256242,2.5717309886166e-12,-1.8149118452608e-11,2.2260860619247e-15,-3.4415149127479e-11,4.216625642252e-15
26,16,0,26,0.000105163451185,2.5699752733538e-12,-1.4327470353718e-11,1.7546498532275e-15,-3.4487941111133e-11,4.2190084437388e-15
27,16,0,27,0.00010522006442227,2.5685925651192e-12,-1.1297040128271e-11,1.3818501904592e-15,-3.4545802599201e-11,4.2209318975391e-15
28,16,0,28,0.00010526464590532,2.567504754507e-12,-8.8960099012598e-12,1.0871222203275e-15,-3.4591696634763e-11,4.2224783335598e-15
29,16,0,29,0.00010529970332714,2.5666499765685e-12,-6.9954470549955e-12,8.5422763559722e-16,-3.4628020650761e-11,4.2237170283309e-15
30,16,0,30,0.00010532722972746,2.5659792166162e-12,-5.4926292334682e-12,6.7032154721476e-16,-3.465670878946e-11,4.2247057362782e-15
31,16,0,31,0.0001053488081352,2.5654536392839e-12,-4.3057237384848e-12,5.2522922635844e-16,-3.4679317431095e-11,4.2254922472551e-15
32,16,0,32,0.00010536569498262,2.5650424811872e-12,-3.3695486608037e-12,4.1088257943358e-16,-3.4697096063979e-11,4.2261158705161e-15
33,16,0,33,0.00010537888660888,2.5647213844244e-12,-2.632196529846e-12,3.2087938344513e-16,-3.4711045609665e-11,4.2266087671704e-15
34,16,0,34,0.00010538917229224,2.5644710762493e-12,-2.052344829544e-12,2.5013719461036e-16,-3.4721966174424e-11,4.2269971269575e-15
35,16,0,35,0.0001053971765474,2.5642763213936e-12,-1.5971130567712e-12,1.9462077782692e-16,-3.4730495990579e-11,4.2273021852936e-15
36,16,0,36,0.00010540339286547,2.5641250897387e-12,-1.2403545024974e-12,1.5112682792713e-16,-3.4737143078218e-11,4.2275410901724e-15
37,16,0,37,0.00010540821062826,2.5640078944895e-12,-9.6129382138724e-13,1.1711353162812e-16,-3.4742310926906e-11,4.2277276347259e-15
38,16,0,38,0.00010541193657513,2.5639172656255e-12,-7.4343975215871e-13,9.0565344789363e-17,-3.4746319284166e-11,4.2278728715059e-15
39,16,0,39,0.00010541481191999,2.5638473308746e-12,-5.7371692599716e-13,6.9885517207081e-17,-3.4749420950996e-11,4.2279856243546e-15
40,16,0,40,0.00010541702599302,2.5637934822744e-12,-4.4177227817073e-13,5.3810545758807e-17,-3.4751815325587e-11,4.2280729124946e-15
41,16,0,41,0.00010541872710504,2.5637521109367e-12,-3.3942075423074e-13,4.1342004642027e-17,-3.4753659303483e-11,4.2281403000049e-15
