x,y,z,id,cv,ci,jvx,jix,jvy,jiy
37,16,0,37,9.7129382359316e-09,1.240137385841e-10,1.1313933202709e-17,-3.5547041200506e-13,1.5268327734314e-17,-4.8001974704927e-13
38,16,0,38,9.7128868453943e-09,1.2433666158978e-10,1.0253428616738e-17,-3.2214596351996e-13,1.5320235930071e-17,-4.8165411272439e-13
39,16,0,39,9.7128402720231e-09,1.2462931072811e-10,9.2923069699024e-18,-2.9194487628743e-13,1.5367282046736e-17,-4.8313541692761e-13
40,16,0,40,9.7127980643607e-09,1.2489452361642e-10,8.4212604356033e-18,-2.6457460181339e-13,1.540992134624e-17,-4.8447796547159e-13
41,16,0,41,9.7127598132381e-09,1.2513487204279e-10,7.6318517245261e-18,-2.3976994385683e-13,1.5448566182914e-17,-4.8569473448616e-13
42,16,0,42,9.7127251478186e-09,1.2535268683174e-10,6.9164325769098e-18,-2.1729051382948e-13,1.5483590307978e-17,-4.8679749211226e-13
43,16,0,43,9.712693732012e-09,1.2555008039373e-10,6.2680703460908e-18,-1.9691841966817e-13,1.5515332595431e-17,-4.8779690955251e-13
44,16,0,44,9.7126652612215e-09,1.2572896717174e-10,5.6804813826287e-18,-1.7845616760696e-13,1.5544100298036e-17,-4.8870266228296e-13
45,16,0,45,9.7126394593945e-09,1.2589108217913e-10,5.1479704527974e-18,-1.617247578734e-13,1.5570171970932e-17,-4.8952352220701e-13
46,16,0,46,9.7126160763497e-09,1.2603799780577e-10,4.6653757422833e-18,-1.465619568645e-13,1.5593800135487e-17,-4.9026744150011e-13
47,16,0,47,9.7125948853531e-09,1.2617113905318e-10,4.2280189767387e-18,-1.3282072981695e-13,1.5615213702167e-17,-4.9094162885968e-13
48,16,0,48,9.7125756809215e-09,1.2629179734493e-10,3.8316601906779e-18,-1.2036781935442e-13,1.5634620160379e-17,-4.9155261884563e-13
49,16,0,49,9.7125582768312e-09,1.2640114304525e-10,3.4724566993186e-18,-1.0908245657886e-13,1.5652207643089e-17,-4.9210633499092e-13
50,16,0,50,9.7125425043154e-09,1.265002368065e-10,3.1469259403052e-18,-9.8855192552474e-14,1.5668146220244e-17,-4.926081474313e-13
51,16,0,51,9.7125282104056e-09,1.2659003985536e-10,2.851911606081e-18,-8.9586839075508e-14,1.5682593801201e-17,-4.9306292591114e-13
52,16,0,52,9.7125152566523e-09,1.2667142331985e-10,2.5845522716985e-18,-8.1187508262439e-14,1.5695662560564e-17,-4.9347509191977e-13
53,16,0,53,9.712503517139e-09,1.2674517578072e-10,2.3422656103107e-18,-7.3575053743757e-14,1.5707497990161e-17,-4.9384845527502e-13
54,16,0,54,9.712492878163e-09,1.2681201284698e-10,2.1226486037977e-18,-6.6676162564954e-14,1.5718281638701e-17,-4.9418676609878e-13
55,16,0,55,9.7124832366059e-09,1.2687258333622e-10,1.9236816367205e-18,-6.0424660891407e-14,1.5728058016795e-17,-4.9449349813838e-13
56,16,0,56,9.7124744987135e-09,1.2692747479251e-10,1.7433570365151e-18,-5.4759298839456e-14,1.5736909229811e-17,-4.9477148393408e-13
57,16,0,57,9.7124665797646e-09,1.2697721967928e-10,1.5799502807863e-18,-4.9625116628162e-14,1.5744970175397e-17,-4.9502341152899e-13
58,16,0,58,9.7124594031826e-09,1.2702230053964e-10,1.4318404258268e-18,-4.4972316284957e-14,1.5752285645219e-17,-4.9525172575068e-13
