"K0","K0_dist","source_i","source_v","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.037e-15,1.3448e-16,1.3429e-16,1.41e-16,1,525,525,0,0
9.037e-15,1.3843e-16,1.3823e-16,1.4514e-16,1,527.5,527.5,0,0
9.037e-15,1.4248e-16,1.4228e-16,1.4939e-16,1,530,530,0,0
9.037e-15,1.4664e-16,1.4643e-16,1.5375e-16,1,532.5,532.5,0,0
9.037e-15,1.509e-16,1.5069e-16,1.5822e-16,1,535,535,0,0
9.037e-15,1.5527e-16,1.5505e-16,1.628e-16,1,537.5,537.5,0,0
9.037e-15,1.5975e-16,1.5953e-16,1.675e-16,1,540,540,0,0
9.037e-15,1.6435e-16,1.6412e-16,1.7232e-16,1,542.5,542.5,0,0
9.037e-15,1.6906e-16,1.693e-16,1.7776e-16,1,545,545,0,0
9.037e-15,1.7388e-16,1.7364e-16,1.8232e-16,1,547.5,547.5,0,0
9.037e-15,1.7883e-16,1.7858e-16,1.8751e-16,1,550,550,0,0
9.037e-15,1.839e-16,1.8364e-16,1.9282e-16,1,552.5,552.5,0,0
9.037e-15,1.8909e-16,1.8883e-16,1.9827e-16,1,555,555,0,0
9.037e-15,1.9441e-16,1.9414e-16,2.0385e-16,1,557.5,557.5,0,0
9.037e-15,1.9986e-16,1.9959e-16,2.0957e-16,1,560,560,0,0
9.037e-15,2.0545e-16,2.0516e-16,2.1542e-16,1,562.5,562.5,0,0
9.037e-15,2.1116e-16,2.1087e-16,2.2142e-16,1,565,565,0,0
9.037e-15,2.1702e-16,2.1672e-16,2.2756e-16,1,567.5,567.5,0,0
9.037e-15,2.2301e-16,2.2271e-16,2.3385e-16,1,570,570,0,0
9.037e-15,2.2915e-16,2.2884e-16,2.4028e-16,1,572.5,572.5,0,0
9.037e-15,2.3543e-16,2.3512e-16,2.4687e-16,1,575,575,0,0
9.037e-15,2.4187e-16,2.4154e-16,2.5362e-16,1,577.5,577.5,0,0
9.037e-15,2.4845e-16,2.4812e-16,2.6052e-16,1,580,580,0,0
9.037e-15,2.5518e-16,2.5484e-16,2.6759e-16,1,582.5,582.5,0,0
9.037e-15,2.6208e-16,2.6173e-16,2.7481e-16,1,585,585,0,0
9.037e-15,2.6913e-16,2.6877e-16,2.8221e-16,1,587.5,587.5,0,0
9.037e-15,2.7634e-16,2.7598e-16,2.8978e-16,1,590,590,0,0
9.037e-15,2.8372e-16,2.8335e-16,2.9751e-16,1,592.5,592.5,0,0
9.037e-15,2.9127e-16,2.9088e-16,3.0543e-16,1,595,595,0,0
9.037e-15,2.9898e-16,2.9859e-16,3.1352e-16,1,597.5,597.5,0,0
9.037e-15,3.0687e-16,3.0647e-16,3.218e-16,1,600,600,0,0
9.037e-15,3.1494e-16,3.1453e-16,3.3026e-16,1,602.5,602.5,0,0
9.037e-15,3.2319e-16,3.2277e-16,3.3891e-16,1,605,605,0,0
9.037e-15,3.3162e-16,3.3119e-16,3.4775e-16,1,607.5,607.5,0,0
9.037e-15,3.4023e-16,3.398e-16,3.5679e-16,1,610,610,0,0
9.037e-15,3.4904e-16,3.4859e-16,3.6602e-16,1,612.5,612.5,0,0
9.037e-15,3.5804e-16,3.5758e-16,3.7546e-16,1,615,615,0,0
9.037e-15,3.6723e-16,3.6676e-16,3.851e-16,1,617.5,617.5,0,0
9.037e-15,3.7662e-16,3.7615e-16,3.9495e-16,1,620,620,0,0
9.037e-15,3.8621e-16,3.8573e-16,4.0501e-16,1,622.5,622.5,0,0
9.037e-15,3.9601e-16,3.9551e-16,4.1529e-16,1,625,625,0,0
9.037e-15,4.0601e-16,4.0551e-16,4.2578e-16,1,627.5,627.5,0,0
9.037e-15,4.1623e-16,4.1571e-16,4.365e-16,1,630,630,0,0
9.037e-15,4.2666e-16,4.2613e-16,4.4744e-16,1,632.5,632.5,0,0
9.037e-15,4.3731e-16,4.3677e-16,4.5861e-16,1,635,635,0,0
9.037e-15,4.4818e-16,4.4763e-16,4.7001e-16,1,637.5,637.5,0,0
9.037e-15,4.5927e-16,4.5871e-16,4.8164e-16,1,640,640,0,0
9.037e-15,4.7059e-16,4.7002e-16,4.9352e-16,1,642.5,642.5,0,0
9.037e-15,4.8214e-16,4.8156e-16,5.0564e-16,1,645,645,0,0
9.037e-15,4.9393e-16,4.9333e-16,5.18e-16,1,647.5,647.5,0,0
9.037e-15,5.0595e-16,5.0534e-16,5.3061e-16,1,650,650,0,0
9.037e-15,5.1821e-16,5.1759e-16,5.4347e-16,1,652.5,652.5,0,0
9.037e-15,5.3072e-16,5.3009e-16,5.5659e-16,1,655,655,0,0
9.037e-15,5.4348e-16,5.4283e-16,5.6997e-16,1,657.5,657.5,0,0
9.037e-15,5.5648e-16,5.5583e-16,5.8362e-16,1,660,660,0,0
9.037e-15,5.6974e-16,5.6907e-16,5.9753e-16,1,662.5,662.5,0,0
9.037e-15,5.8326e-16,5.8258e-16,6.1171e-16,1,665,665,0,0
9.037e-15,5.9704e-16,5.9635e-16,6.2616e-16,1,667.5,667.5,0,0
9.037e-15,6.1108e-16,6.1038e-16,6.4089e-16,1,670,670,0,0
9.037e-15,6.254e-16,6.2467e-16,6.5591e-16,1,672.5,672.5,0,0
9.037e-15,6.3998e-16,6.3924e-16,6.7121e-16,1,675,675,0,0
9.037e-15,6.5484e-16,6.5409e-16,6.8679e-16,1,677.5,677.5,0,0
9.037e-15,6.6997e-16,6.6921e-16,7.0267e-16,1,680,680,0,0
9.037e-15,6.8539e-16,6.8461e-16,7.1884e-16,1,682.5,682.5,0,0
9.037e-15,7.0109e-16,7.003e-16,7.3531e-16,1,685,685,0,0
9.037e-15,7.1708e-16,7.1627e-16,7.5209e-16,1,687.5,687.5,0,0
9.037e-15,7.3336e-16,7.3254e-16,7.6916e-16,1,690,690,0,0
9.037e-15,7.4993e-16,7.491e-16,7.8655e-16,1,692.5,692.5,0,0
9.037e-15,7.6681e-16,7.6596e-16,8.0425e-16,1,695,695,0,0
9.037e-15,7.8398e-16,7.8312e-16,8.2227e-16,1,697.5,697.5,0,0
9.037e-15,8.0146e-16,8.0058e-16,8.4061e-16,1,700,700,0,0
9.037e-15,8.1925e-16,8.1835e-16,8.5927e-16,1,702.5,702.5,0,0
9.037e-15,8.3734e-16,8.3643e-16,8.7825e-16,1,705,705,0,0
9.037e-15,8.5576e-16,8.5483e-16,8.9757e-16,1,707.5,707.5,0,0
