x,y,z,id,mat_therm_cond,cv,ci,jvx,jix,T,jx,jy,dTdx,dTdy,gr0
586.4,433,0,586.4,1,6.3470040158832e-05,4.7347285709815e-05,-5.1765050613237e-18,2.1500478757337e-10,291.96183668932,-0.49411753540069,-4.4511143634018e-05,0.49411753540069,4.4511143634018e-05,-3.563648614344e-50
586.6,433,0,586.6,1,6.3470040163966e-05,4.7347242667804e-05,-5.1765050613237e-18,2.1500478757337e-10,292.06066055572,-0.49411753540069,-4.4511143634018e-05,0.49411753540069,4.4511143634018e-05,-2.4839737059685e-50
586.8,433,0,586.8,1,6.34700401691e-05,4.7347199625793e-05,-5.1765050613237e-18,2.1500478757337e-10,292.15948442213,-0.49411753540069,-4.4511143634018e-05,0.49411753540069,4.4511143634018e-05,-1.4042987975929e-50
587,433,0,587,1,6.3470040174234e-05,4.7347156583782e-05,-5.1765050613237e-18,2.1500478757337e-10,292.25830828854,-0.49411753540069,-4.4511143634018e-05,0.49411753540069,4.4511143634018e-05,-3.2462388921799e-51
587.2,433,0,587.2,1,6.3470040179367e-05,4.7347113541771e-05,-5.1765050613237e-18,2.1500478757337e-10,292.35713215494,-0.49411753540069,-4.4511143634018e-05,0.49411753540069,4.4511143634018e-05,7.5505101915755e-51
587.4,433,0,587.4,1,6.3470040184501e-05,4.734707049976e-05,-5.1765050613237e-18,2.1500478757337e-10,292.45595602135,-0.49411753540069,-4.4511143634018e-05,0.49411753540069,4.4511143634018e-05,1.8347259275325e-50
587.6,433,0,587.6,1,6.3470040189635e-05,4.7347027457748e-05,-5.1765050613237e-18,2.1500478757337e-10,292.55477988775,-0.49411753540069,-4.4511143634018e-05,0.49411753540069,4.4511143634018e-05,2.914400835908e-50
587.8,433,0,587.8,1,6.3470040194768e-05,4.7346984415737e-05,-5.1765050613237e-18,2.1500478757337e-10,292.65360375416,-0.49411753540069,-4.4511143634018e-05,0.49411753540069,4.4511143634018e-05,3.9940757442836e-50
588,433,0,588,1,6.3470040199902e-05,4.7346941373726e-05,-5.1765050613237e-18,2.1500478757337e-10,292.75242762056,-0.49411753540069,-4.4511143634018e-05,0.49411753540069,4.4511143634018e-05,5.0737506526585e-50
588.2,433,0,588.2,1,6.3470040192346e-05,4.7346821428178e-05,1.3636225170917e-16,5.994809200716e-10,292.85125431497,-0.49413165112276,-4.5079259080816e-05,0.49413165112276,4.5079259080816e-05,4.4360148926508e-50
588.4,433,0,588.4,1,6.3470040184791e-05,4.7346701482629e-05,1.3636225170917e-16,5.994809200716e-10,292.95008100938,-0.49413165112276,-4.5079259080816e-05,0.49413165112276,4.5079259080816e-05,3.7982791326435e-50
588.6,433,0,588.6,1,6.3470040177235e-05,4.734658153708e-05,1.3636225170917e-16,5.994809200716e-10,293.0489077038,-0.49413165112276,-4.5079259080816e-05,0.49413165112276,4.5079259080816e-05,3.1605433726358e-50
588.8,433,0,588.8,1,6.3470040169679e-05,4.7346461591531e-05,1.3636225170917e-16,5.994809200716e-10,293.14773439821,-0.49413165112276,-4.5079259080816e-05,0.49413165112276,4.5079259080816e-05,2.5228076126281e-50
