x,y,z,id,xi,xv,jvx,jix,xie,xve,Di,Dv,K0_dist_FP,K0_dist_II,super_saturation,void_nucleation_rate
21,0,0,21,3.7035704135021e-11,7.9203873207936e-11,-1.1606419802741e-14,-6.4512222222398e-13,0,3.7e-11,1,0.181,2.2628301145725e-13,1.7353014535746e-23,-3.3895480191704,-nan
22,0,0,22,3.7617847041007e-11,7.9255077025325e-11,-9.2678909474318e-15,-5.821429059862e-13,0,3.7e-11,1,0.181,2.262822908264e-13,1.7849557888335e-23,-3.4750900551625,-nan
23,0,0,23,3.814209725339e-11,7.9296723342583e-11,-7.5379834236658e-15,-5.2425021238328e-13,0,3.7e-11,1,0.181,2.2628128321354e-13,1.8359850450443e-23,-3.5522458307276,-nan
24,0,0,24,3.8613252914111e-11,7.9331088481065e-11,-6.2200900653323e-15,-4.7115566072076e-13,0,3.7e-11,1,0.181,2.262799913922e-13,1.8884259412697e-23,-3.6216702850587,-nan
25,0,0,25,3.9035827086478e-11,7.9359651110637e-11,-5.1698359525005e-15,-4.2257417236739e-13,0,3.7e-11,1,0.181,2.2627841817761e-13,1.9423161384602e-23,-3.6839973473873,-nan
26,0,0,26,3.9414052475473e-11,7.938332050418e-11,-4.2841602313551e-15,-3.7822538899509e-13,0,3.7e-11,1,0.181,2.2627656642726e-13,1.9976942625381e-23,-3.7398344727814,-nan
27,0,0,27,3.9751887368191e-11,7.9402614995195e-11,-3.492302873664e-15,-3.3783489271729e-13,0,3.7e-11,1,0.181,2.2627443904139e-13,2.0545999280164e-23,-3.7897587059968,-nan
28,0,0,28,4.0053022687039e-11,7.9417800210657e-11,-2.7485239986499e-15,-3.01135318848e-13,0,3.7e-11,1,0.181,2.2627203896359e-13,2.1130737621679e-23,-3.8343139986426,-nan
29,0,0,29,4.0320890040644e-11,7.9428995108045e-11,-2.0262764271823e-15,-2.6786735360521e-13,0,3.7e-11,1,0.181,2.2626936918129e-13,2.1731574297533e-23,-3.8740095454812,-nan
30,0,0,30,4.0558670651474e-11,7.943625206253e-11,-1.3135087618439e-15,-2.3778061083058e-13,0,3.7e-11,1,0.181,2.2626643272637e-13,2.234893658323e-23,-3.9093189529874,-nan
