x,y,z,id,cv,ci,jvx,jix,D,jx,jy,mat_therm_cond
30.15,225,0,30.15,7.7475495901603e-06,7.4551672324252e-06,0,0,14.365387136752,0.02098755031872,-0.00012048684503996,1
30.6,225,0,30.6,7.7475436763777e-06,7.4551373010608e-06,0,0,14.355942739108,0.02098755031872,-0.00012048684503996,1
31.05,225,0,31.05,7.7475377625951e-06,7.4551073696965e-06,0,0,14.346498341465,0.02098755031872,-0.00012048684503996,1
31.5,225,0,31.5,7.7475318488125e-06,7.4550774383321e-06,0,0,14.337053943821,0.02098755031872,-0.00012048684503996,1
31.95,225,0,31.95,7.74752593503e-06,7.4550475069677e-06,0,0,14.327609546178,0.02098755031872,-0.00012048684503996,1
32.4,225,0,32.4,7.7475200212474e-06,7.4550175756034e-06,0,0,14.318165148535,0.02098755031872,-0.00012048684503996,1
32.85,225,0,32.85,7.7475075160984e-06,7.4549799495817e-06,0,0,14.308693763556,0.021047522173779,-0.0001581662458682,1
33.3,225,0,33.3,7.7474950109494e-06,7.4549423235601e-06,0,0,14.299222378578,0.021047522173779,-0.0001581662458682,1
33.75,225,0,33.75,7.7474825058004e-06,7.4549046975385e-06,0,0,14.2897509936,0.021047522173779,-0.0001581662458682,1
34.2,225,0,34.2,7.7474700006514e-06,7.4548670715169e-06,0,0,14.280279608622,0.021047522173779,-0.0001581662458682,1
34.65,225,0,34.65,7.7474574955024e-06,7.4548294454952e-06,0,0,14.270808223644,0.021047522173779,-0.0001581662458682,1
35.1,225,0,35.1,7.7474449903534e-06,7.4547918194736e-06,0,0,14.261336838665,0.021047522173779,-0.0001581662458682,1
35.55,225,0,35.55,7.7474324852044e-06,7.454754193452e-06,0,0,14.251865453687,0.021047522173779,-0.0001581662458682,1
36,225,0,36,7.7474199800554e-06,7.4547165674303e-06,0,0,14.242394068709,0.021047522173779,-0.0001581662458682,1
36.45,225,0,36.45,7.7473805301659e-06,7.4546504081155e-06,0,0,14.232906994694,0.021082386699806,-0.00022999548266417,1
36.9,225,0,36.9,7.7473410802764e-06,7.4545842488006e-06,0,0,14.223419920679,0.021082386699806,-0.00022999548266417,1
37.35,225,0,37.35,7.7473016303869e-06,7.4545180894857e-06,0,0,14.213932846664,0.021082386699806,-0.00022999548266417,1
37.8,225,0,37.8,7.7472621804973e-06,7.4544519301708e-06,0,0,14.204445772649,0.021082386699806,-0.00022999548266417,1
38.25,225,0,38.25,7.7472227306078e-06,7.4543857708559e-06,0,0,14.194958698634,0.021082386699806,-0.00022999548266417,1
38.7,225,0,38.7,7.7471832807183e-06,7.4543196115411e-06,0,0,14.185471624619,0.021082386699806,-0.00022999548266417,1
