time,T_cold,T_hot,average_ci,average_cv,jx,k_x_direct,left_jix,left_jvx,left_jx,left_jy,right_jix,right_jvx,right_jy,tot_ci,tot_cv
3472995.9675369,5,15,1.782214828718e-05,0.00073781088979901,0.03858561182756,0.98779166278557,7.0130107525224e-10,-4.4192332015079e-11,0.038585611827563,1.647987302178e-17,-5.9277621307815e-11,3.7350257541924e-12,1.348747502572e-16,1.1679923101486,48.353174473868
3548403.5270168,5,15,1.7699408679244e-05,0.00074558229375462,0.03858561182756,0.98779166278554,6.7376581686819e-10,-4.3385563824149e-11,0.038585611827563,6.8521577301084e-17,-5.0048932625105e-11,3.233236348977e-12,6.808789643209e-17,1.1599484472029,48.862481203503
3638892.5983926,5,15,1.7555760361938e-05,0.00075489303237123,0.038585611827559,0.98779166278555,6.7376286069051e-10,-4.4466477020509e-11,0.038585611827564,2.4199392489876e-16,-4.6151620506698e-11,3.0479628747816e-12,8.4134088584875e-17,1.15053431108,49.472669769481
3720332.7626308,5,15,1.7436909136029e-05,0.00076277837322373,0.038585611827558,0.98779166278551,6.4746406540622e-10,-4.3680785124577e-11,0.038585611827564,1.2403272853234e-16,-4.1913648217426e-11,2.828851672175e-12,1.1839487723542e-16,1.1427452771388,49.98944346759
3801772.926869,5,15,1.7317755633254e-05,0.00077085475059552,0.038585611827563,0.98779166278548,6.2715083275572e-10,-4.3223684739841e-11,0.038585611827561,3.7296554733501e-17,-4.055428521717e-11,2.7945234969087e-12,1.6566609195579e-16,1.1349364331809,50.518736935028
3875069.0746834,5,15,1.7217790394027e-05,0.00077776680933037,0.038585611827551,0.98779166278561,6.6432832272909e-10,-4.6573325613332e-11,0.038585611827573,-7.0256300777061e-17,-5.0843180590956e-11,3.5537599894928e-12,4.0766001685455e-17,1.128385111263,50.971725616275
3948365.2224978,5,15,1.7116908684225e-05,0.00078487195873335,0.038585611827561,0.98779166278531,7.1580018858478e-10,-5.1127621120384e-11,0.038585611827564,9.2807705964759e-17,-6.3135548624402e-11,4.5009070912637e-12,9.0205620750794e-17,1.1217737275294,51.437368687549
4036320.5998751,5,15,1.6998227615953e-05,0.00079340258207529,0.038585611827561,0.98779166278555,7.187792427937e-10,-5.254825840699e-11,0.03858561182756,2.6020852139652e-18,-6.6333461823958e-11,4.8493456871181e-12,1.2446640940134e-16,1.1139958450391,51.996431618886
4141867.0527279,5,15,1.6860497455999e-05,0.00080354335644921,0.038585611827561,0.98779166278555,7.1859925642462e-10,-5.3909176746644e-11,0.038585611827562,1.9949319973733e-17,-7.2312808926668e-11,5.4208620795389e-12,1.0711917464157e-16,1.1049695612764,52.661017408255
4236858.8602954,5,15,1.6747000984925e-05,0.0008121014468308,0.038585611827561,0.98779166278557,7.0053270871652e-10,-5.3720284614311e-11,0.03858561182756,4.7704895589362e-17,-7.1823065606462e-11,5.5088507524728e-12,1.3357370765021e-16,1.097531456548,53.221880419503
4331850.6678628,5,15,1.6633402471157e-05,0.00082085598621877,0.038585611827564,0.98779166278556,6.7731991715295e-10,-5.3087684752848e-11,0.03858561182756,2.6888213877641e-17,-6.9751767971868e-11,5.4673129995893e-12,6.7654215563096e-17,1.0900866643497,53.795617912833
4445840.8369438,5,15,1.6500649977212e-05,0.00083133451158891,0.038585611827558,0.98779166278563,7.0619312854295e-10,-5.6751317275121e-11,0.03858561182757,5.611830444785e-16,-7.7411060379474e-11,6.215346262831e-12,3.3089850304258e-16,1.0813865969066,54.482338551491
4522784.2010734,5,15,1.6410772786586e-05,0.00083858545410577,0.038585611827561,0.98779166278548,7.155129971511e-10,-5.8563863377414e-11,0.038585611827572,4.0766001685455e-17,-7.9519215411683e-11,6.5089485085275e-12,2.4416232924374e-16,1.0754964053417,54.957536320276
4599727.5652031,5,15,1.6325129660754e-05,0.00084561621503434,0.038585611827561,0.98779166278556,7.0471836358813e-10,-5.86978441642e-11,0.038585611827563,2.6020852139652e-18,-7.7862445184049e-11,6.4874627666609e-12,9.2374025095765e-17,1.0698836974472,55.41830426849
4676670.9293327,5,15,1.6242337614157e-05,0.00085252857266978,0.038585611827557,0.98779166278556,6.7782238238932e-10,-5.7420348951815e-11,0.038585611827556,-2.5153490401664e-17,-7.0204888530106e-11,5.9562120596099e-12,3.2829641782861e-16,1.0644578378814,55.871312538487
4769002.9662883,5,15,1.6146029888701e-05,0.00086071623999093,0.038585611827562,0.98779166278545,7.1969592048121e-10,-6.2069490338657e-11,0.038585611827557,2.2811613709095e-16,-7.8403721421196e-11,6.7535583669731e-12,1.7347234759768e-18,1.0581462147859,56.407899504046
4852101.7995483,5,15,1.6066147539155e-05,0.00086763057419653,0.038585611827564,0.98779166278559,7.3856654909591e-10,-6.4806469894366e-11,0.038585611827563,-2.8189256484623e-16,-8.1799506392463e-11,7.1782578773677e-12,1.5916087892087e-16,1.0529110451261,56.861037310544
4935200.6328084,5,15,1.5985603266738e-05,0.00087471818416764,0.038585611827561,0.98779166278565,7.4323783128629e-10,-6.6320034608942e-11,0.038585611827569,-2.2291196666302e-16,-8.0386798479514e-11,7.1778213790605e-12,2.7798943702528e-16,1.047632495689,57.32553091761
5034919.2327204,5,15,1.5890670142627e-05,0.00088322548055195,0.038585611827562,0.98779166278557,8.8406853821566e-10,-8.029664663451e-11,0.038585611827555,-4.9439619065339e-17,-1.2262938153329e-10,1.1095477515245e-11,1.2403272853234e-16,1.0414109584672,57.883065093452
5154581.5526148,5,15,1.5780168678153e-05,0.00089334340825032,0.038585611827562,0.98779166278558,9.1327605500891e-10,-8.5107478702035e-11,0.038585611827563,1.344410693882e-16,-1.3558886572721e-10,1.2635036619453e-11,1.4484941024406e-16,1.0341691344914,58.546153603093
5262277.6405198,5,15,1.5688813273616e-05,0.00090188905448694,0.03858561182756,0.98779166278558,8.9976746668523e-10,-8.5494000498223e-11,0.038585611827561,4.5709963591989e-16,-1.3629598032959e-10,1.2949833043658e-11,9.7144514654701e-17,1.0281820666997,59.106201074856
5369973.7284248,5,15,1.5597106395535e-05,0.00091063732891488,0.03858561182756,0.98779166278554,8.7034350415288e-10,-8.4351443049091e-11,0.038585611827557,3.3827107781548e-17,-1.3346045566261e-10,1.2933055160194e-11,9.3675067702748e-17,1.0221719647378,59.679527987766
5499209.0339108,5,15,1.5489592679372e-05,0.000921117104735,0.038585611827562,0.98779166278555,8.4029093781857e-10,-8.3357791772742e-11,0.038585611827561,-8.673617379883e-19,-1.2922903942969e-10,1.2819818627994e-11,1.2663481374631e-16,1.0151259458353,60.366330575913
5596135.5130253,5,15,1.5411209714533e-05,0.00092891428056779,0.038585611827559,0.98779166278558,8.2853154368281e-10,-8.3609377714143e-11,0.038585611827562,-1.5352302762395e-16,-1.233471804185e-10,1.2456839083143e-11,1.2446640940134e-16,1.0099890398517,60.877326291291
5693061.9921398,5,15,1.5334858917036e-05,0.00093664011344409,0.038585611827567,0.9877916627855,8.0796494905395e-10,-8.2942589870305e-11,0.038585611827564,-4.2500725161432e-17,-1.1805920297507e-10,1.2122405083786e-11,1.196959198424e-16,1.0049853139869,61.383646474672
5780295.8233428,5,15,1.5271218970451e-05,0.00094318098300991,0.038585611827558,0.98779166278573,7.7595622931894e-10,-8.0818400648278e-11,0.038585611827566,-1.118896642005e-16,-1.089039136696e-10,1.1352545628701e-11,2.4286128663675e-17,1.0008146064475,61.812308902537
5867529.6545459,5,15,1.5206830323771e-05,0.00094989447885639,0.038585611827562,0.98779166278548,7.5215646057748e-10,-7.9463389586173e-11,0.038585611827562,1.3010426069826e-17,-1.0333632987889e-10,1.0919512368712e-11,1.0321604682062e-16,0.99659483209863,62.252284566332
