x,y,z,id,mat_therm_cond,cv,ci,jvx,jix,T,jx,jy,dTdx,dTdy,gr0
703.2,433,0,703.2,1,4.9752633587414e-07,4.9752386312711e-07,8.8216082632759e-21,1.0921826455993e-17,352.33031636571,-0.49698885556052,2.5428171483988e-06,0.49698885556052,-2.5428171483988e-06,1.0913956121966e-59
703.4,433,0,703.4,1,4.9752633587578e-07,4.9752386312997e-07,8.8216082632759e-21,1.0921826455993e-17,352.42971461878,-0.49698885556052,2.5428171483988e-06,0.49698885556052,-2.5428171483988e-06,1.1604260590795e-59
703.6,433,0,703.6,1,4.9752633587742e-07,4.9752386313283e-07,8.8216082632759e-21,1.0921826455993e-17,352.52911287185,-0.49698885556052,2.5428171483988e-06,0.49698885556052,-2.5428171483988e-06,1.2294565059625e-59
703.8,433,0,703.8,1,4.9752633587906e-07,4.9752386313569e-07,8.8216082632759e-21,1.0921826455993e-17,352.62851112493,-0.49698885556052,2.5428171483988e-06,0.49698885556052,-2.5428171483988e-06,1.2984869528455e-59
704,433,0,704,1,4.975263358807e-07,4.9752386313855e-07,8.8216082632759e-21,1.0921826455993e-17,352.727909378,-0.49698885556052,2.5428171483988e-06,0.49698885556052,-2.5428171483988e-06,1.3675173997284e-59
704.2,433,0,704.2,1,4.9752633588067e-07,4.9752386313748e-07,-1.3074565654523e-21,-6.87191874407e-19,352.82730756905,-0.49698775550821,1.6618712628258e-06,0.49698775550821,-1.6618712628258e-06,1.2059112663727e-59
704.4,433,0,704.4,1,4.9752633588064e-07,4.9752386313641e-07,-1.3074565654523e-21,-6.87191874407e-19,352.9267057601,-0.49698775550821,1.6618712628258e-06,0.49698775550821,-1.6618712628258e-06,1.0443051330169e-59
704.6,433,0,704.6,1,4.9752633588061e-07,4.9752386313534e-07,-1.3074565654523e-21,-6.87191874407e-19,353.02610395116,-0.49698775550821,1.6618712628258e-06,0.49698775550821,-1.6618712628258e-06,8.826989996613e-60
704.8,433,0,704.8,1,4.9752633588057e-07,4.9752386313427e-07,-1.3074565654523e-21,-6.87191874407e-19,353.12550214221,-0.49698775550821,1.6618712628258e-06,0.49698775550821,-1.6618712628258e-06,7.2109286630556e-60
705,433,0,705,1,4.9752633588054e-07,4.975238631332e-07,-1.3074565654523e-21,-6.87191874407e-19,353.22490033326,-0.49698775550821,1.6618712628258e-06,0.49698775550821,-1.6618712628258e-06,5.5948673294992e-60
705.2,433,0,705.2,1,4.9752633588051e-07,4.9752386313213e-07,-1.3074565654523e-21,-6.87191874407e-19,353.32429852431,-0.49698775550821,1.6618712628258e-06,0.49698775550821,-1.6618712628258e-06,3.9788059959419e-60
705.4,433,0,705.4,1,4.9752633588048e-07,4.9752386313106e-07,-1.3074565654523e-21,-6.87191874407e-19,353.42369671537,-0.49698775550821,1.6618712628258e-06,0.49698775550821,-1.6618712628258e-06,2.3627446623846e-60
705.6,433,0,705.6,1,4.9752633588045e-07,4.9752386312999e-07,-1.3074565654523e-21,-6.87191874407e-19,353.52309490642,-0.49698775550821,1.6618712628258e-06,0.49698775550821,-1.6618712628258e-06,7.4668332882814e-61
