time,average_xi,average_xv,center_xi,center_xs,center_xv,left_jix,left_jvx,right_jix,right_jvx,total_ci,total_cv
25.958682112,2.5895684197121e-06,2.5899054324824e-06,2.5895682902956e-06,1,2.5899053030069e-06,7.0033563003054e-29,7.0053178273375e-29,-4.8225504223191e-28,-4.8238147443542e-28,0.16970995595425,0.16973204242317
32.1504185344,3.2032267479661e-06,3.2037428972083e-06,3.2032267255344e-06,1,3.203742874727e-06,6.6576551968182e-29,6.6601342183192e-29,-4.7815402577783e-28,-4.7831113395016e-28,0.20992666815471,0.20996049451144
39.58050224128,3.9362593805405e-06,3.9370404536565e-06,3.9362595099581e-06,1,3.9370405830525e-06,5.8149993348566e-29,5.8180398557391e-29,-4.6936411271486e-28,-4.6955759235848e-28,0.2579666947631,0.25801788317083
48.496602689536,4.8100157945349e-06,4.8111862945601e-06,4.8100161757471e-06,1,4.8111866758362e-06,4.3536012702812e-29,4.3571430905737e-29,-4.561308864131e-28,-4.56366558532e-28,0.31522919511064,0.31530590500029
59.195923227443,5.8482956431007e-06,5.8500355546293e-06,5.8482952609809e-06,1,5.8500351727284e-06,1.1476502257949e-28,1.1480877035801e-28,-5.9621737248756e-28,-5.9651163678502e-28,0.38327390326625,0.38338793010819
72.035107872932,7.0766018828968e-06,7.079170272228e-06,7.0765998953296e-06,1,7.0791682848046e-06,1.597045463588e-28,1.5976684315591e-28,-6.145784350663e-28,-6.1494647250977e-28,0.46377218099752,0.46394050296073
87.442129447518,8.5204936322344e-06,8.524261485725e-06,8.5204912086223e-06,1,8.5242590620274e-06,1.5271321852887e-28,1.5279770059248e-28,-6.0231872937755e-28,-6.0277846854929e-28,0.55839907068211,0.55864600072847
105.93055533702,1.0202520956874e-05,1.0208016135212e-05,1.0202518209439e-05,1,1.0208013387327e-05,1.1658113762011e-28,1.166883666766e-28,-5.5381528260967e-28,-5.5438002350603e-28,0.66863241342967,0.66899254543727
128.11666640443,1.2137125894974e-05,1.2145093274354e-05,1.2137122811584e-05,1,1.2145090189994e-05,4.7405141131214e-29,4.7527837373277e-29,-4.6670283110328e-28,-4.6737904071493e-28,0.79541868265304,0.79594083282803
154.73999968531,1.4323016683617e-05,1.4334496049885e-05,1.4323013190565e-05,1,1.4334492555145e-05,-6.3443070916005e-29,-6.3326304873201e-29,-3.3297790629149e-28,-3.3375886474376e-28,0.93867322137755,0.93942553312527
186.68799962237,1.6733181079626e-05,1.6749603535676e-05,1.6733177082131e-05,1,1.6749599535495e-05,-2.23527964304e-28,-2.2346232734207e-28,-1.4552207834065e-28,-1.463779699977e-28,1.0966257552344,1.0977020173141
225.02559954685,1.9304286279377e-05,1.9327586237769e-05,1.9304281708706e-05,1,1.9327581663027e-05,-4.3080775915434e-28,-4.308742606292e-28,9.3153339760663e-29,9.2287864249243e-29,1.2651257056053,1.2666526916785
271.03071945622,2.192977420705e-05,2.1962508511461e-05,2.1929769087473e-05,1,2.1962503385928e-05,-6.6297759113582e-28,-6.633025934938e-28,3.6045919157133e-28,3.5969541080413e-28,1.4371896824332,1.4393349578071
326.23686334746,2.4463407681919e-05,2.4508867680532e-05,2.4463402206336e-05,1,2.450886219655e-05,-8.7117623651526e-28,-8.7192891434647e-28,6.078197887793e-28,6.0731412898935e-28,1.6032338858423,1.6062131523114
392.48423601695,2.6739540775991e-05,2.6801841148903e-05,2.6739535343529e-05,1,2.6801835705135e-05,-9.8942832996263e-28,-9.9079502902488e-28,7.7005502462571e-28,7.6998663735773e-28,1.7524025442953,1.7564854615345
471.98108322034,2.8609928759194e-05,2.8694063466234e-05,2.8609923909913e-05,1,2.8694058602608e-05,-9.6540479546383e-28,-9.6753823849578e-28,7.9495151831926e-28,7.9547598021072e-28,1.8749802911626,1.8804941433231
567.37729986441,2.9985511902865e-05,3.0097384660442e-05,2.9985508131613e-05,1,3.0097380872255e-05,-7.9724093433395e-28,-8.0020202315836e-28,6.781338990769e-28,6.7932883844254e-28,1.9651305080661,1.9724622011068
681.8527598373,3.0863294258927e-05,3.1009753096414e-05,3.0863291798472e-05,1,3.1009750617558e-05,-5.4415134585652e-28,-5.478771585548e-28,4.7297619042025e-28,4.7480913016233e-28,2.022656852553,2.0322551789266
