x,y,z,id,xi,xv,jvx,jix,xie,xve,Di,Dv,K0_dist,super_saturation,void_nucleation_rate,ci_analytical,cv_analytical
52,0,0,52,3.7601580907248e-11,3.7790658350039e-09,4.7799658227517e-23,1.5485935890616e-16,0,3.7e-11,1,0.000181,4.153133057891e-60,-5512.5533807842,-nan,3.7601578644333e-11,2.0774324735267e-07
53,0,0,53,3.7601423041284e-11,3.7790658347353e-09,4.861742717906e-23,1.5786596320837e-16,0,3.7e-11,1,0.000181,4.4986680787466e-60,-5512.5298081525,-nan,3.7601420787911e-11,2.0774237521946e-07
54,0,0,54,3.760126216871e-11,3.7790658344622e-09,4.9428159305133e-23,1.6087257448993e-16,0,3.7e-11,1,0.000181,4.8727920291273e-60,-5512.5057865719,-nan,3.7601259924704e-11,2.0774148647417e-07
55,0,0,55,3.7601098289518e-11,3.7790658341847e-09,5.0233052363261e-23,1.6387919233722e-16,0,3.7e-11,1,0.000181,5.2778570097972e-60,-5512.4813160415,-nan,3.7601096054709e-11,2.0774058111684e-07
56,0,0,56,3.7600931403701e-11,3.7790658339027e-09,5.1030609156537e-23,1.6688581643361e-16,0,3.7e-11,1,0.000181,5.7164075314312e-60,-5512.4563965604,-nan,3.760092917792e-11,2.0773965914743e-07
57,0,0,57,3.7600761511255e-11,3.7790658336164e-09,5.1822027442487e-23,1.6989244643659e-16,0,3.7e-11,1,0.000181,6.1911961631014e-60,-5512.4310281275,-nan,3.7600759294341e-11,2.0773872056593e-07
58,0,0,58,3.7600588612173e-11,3.7790658333258e-09,5.260715750142e-23,1.7289908203596e-16,0,3.7e-11,1,0.000181,6.705200445933e-60,-5512.4052107422,-nan,3.7600586403975e-11,2.0773776537237e-07
59,0,0,59,3.760041270645e-11,3.7790658330308e-09,5.3384202697046e-23,1.7590572296676e-16,0,3.7e-11,1,0.000181,7.2616411736056e-60,-5512.3789444036,-nan,3.760041050682e-11,2.0773679356674e-07
60,0,0,60,3.7600233794081e-11,3.7790658327316e-09,5.4154660226274e-23,1.7891236894467e-16,0,3.7e-11,1,0.000181,7.8640021494964e-60,-5512.352229111,-nan,3.7600231602867e-11,2.0773580514906e-07
61,0,0,61,3.7600051875061e-11,3.7790658324282e-09,5.4919428407249e-23,1.8191901973055e-16,0,3.7e-11,1,0.000181,8.5160515390262e-60,-5512.3250648636,-nan,3.7600049692132e-11,2.0773480011932e-07
62,0,0,62,3.7599866949386e-11,3.7790658321206e-09,5.567671060368e-23,1.8492567508532e-16,0,3.7e-11,1,0.000181,9.2218649452339e-60,-5512.2974516607,-nan,3.7599864774603e-11,2.0773377847749e-07
63,0,0,63,3.7599679017051e-11,3.7790658318089e-09,5.6425458777731e-23,1.8793233480218e-16,0,3.7e-11,1,0.000181,9.9858503458124e-60,-5512.2693895018,-nan,3.7599676850292e-11,2.0773274022361e-07
64,0,0,64,3.7599488078052e-11,3.779065831493e-09,5.7167319846002e-23,1.9093899866786e-16,0,3.7e-11,1,0.000181,1.0812775040865e-59,-5512.2408783862,-nan,3.7599485919182e-11,2.0773168535765e-07
65,0,0,65,3.7599294132386e-11,3.7790658311731e-09,5.7902593247875e-23,1.9394566652081e-16,0,3.7e-11,1,0.000181,1.1707794772531e-59,-5512.2119183132,-nan,3.7599291981288e-11,2.0773061387962e-07
66,0,0,66,3.7599097180048e-11,3.7790658308492e-09,5.8629033187987e-23,1.9695233812838e-16,0,3.7e-11,1,0.000181,1.2676485190468e-59,-5512.1825092824,-nan,3.7599095036598e-11,2.0772952578952e-07
67,0,0,67,3.7598897221034e-11,3.7790658305213e-09,5.9348436302627e-23,1.9995901339365e-16,0,3.7e-11,1,0.000181,1.3724875851039e-59,-5512.1526512931,-nan,3.7598895085124e-11,2.0772842108737e-07
